满五年 精装修 楼栋位置好 临湖 采光充足 视野开阔,中北蔚蓝星座 -秦虹,3室2厅 | 110.76平米 | 南 北 | 精装 | 低楼层(共24层)  | 板塔结合,410,"37,017元/平"
双地铁，三山街地铁口100米，双南，采光好,升州路 -升州路,2室1厅 | 67.69平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,168,"24,820元/平"
新街口张府园 钟英户型正 朝南大三房 看房有钥匙,洪武路 -新街口,3室1厅 | 75.69平米 | 南 | 简装 | 低楼层(共28层)  | 塔楼,320,"42,278元/平"
新街口钟英商圈 新百 洪武路 全明三房 居家精装修,洪武路 -新街口,3室1厅 | 74.97平米 | 南 西北 | 精装 | 高楼层(共6层)  | 板塔结合,299,"39,883元/平"
水游城三初 慧园街 夫子庙 三山街 张府园全明户,王府园小区 -升州路,2室1厅 | 50.89平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,275,"54,039元/平"
新街口 钟英 双南结构 房龄新 无遮挡 业主诚心卖,小火瓦巷 -新街口,2室1厅 | 78.46平米 | 南 | 精装 | 高楼层(共25层)  | 塔楼,336,"42,825元/平"
新上！3年前婚装 拎包入住 保养好 看房方便 业主诚售,万达紫金明珠 -月牙湖,2室1厅 | 85.92平米 | 南 | 其他 | 低楼层(共9层)  | 板塔结合,230,"26,770元/平"
常府街 五老村 大行宫 精装修三房 常府街地铁站,三十四标 -五老村,3室1厅 | 70.3平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,249,"35,420元/平"
银龙雅苑中间位置好楼层精装拎包住地铁10号线,银龙雅苑 -月牙湖,1室1厅 | 50.33平米 | 南 | 其他 | 中楼层(共10层)  | 板楼,98,"19,472元/平"
二楼朝南 有露台 大行宫地铁口 五老村 居家装修诚心卖,小杨村小区 -五老村,2室1厅 | 52.65平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,160,"30,390元/平"
钟英 高楼层 南北朝向精装修 近地铁  看房方便,王府园小区 -升州路,2室1厅 | 58.89平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,272,"46,188元/平"
满五唯一 带入户花园 采光不遮挡 人车分流 视野好,雅居乐花园 -秦虹,2室1厅 | 87.01平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,418,"48,041元/平"
双南 满五唯一 地铁 新街口 张府园 夫子庙 业主诚售,古钵营9号 -升州路,2室1厅 | 44.16平米 | 南 | 精装 | 低楼层(共4层)  | 板楼,129.6,"29,348元/平"
带车棚，储物间 满五年 边户 前排无遮挡  房龄新,长发东村 -瑞金路,3室1厅 | 85.51平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,333,"38,943元/平"
卡子门 宜家 雨花门  中楼层 全明户型 急卖,开源小区四村 -洪家园,2室1厅 | 50.29平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,140,"27,839元/平"
大光路 南北通透 交通方便 配套成熟 有车位 位置安静,东城水岸 -建康路,3室2厅 | 132.5平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,550,"41,510元/平"
1楼 3室 有院子 采光不挡  古秦淮河景房,贡院街 -夫子庙,3室1厅 | 69.68平米 | 南 北 | 精装 | 低楼层(共3层)  | 板楼,290,"41,619元/平"
建康路长白街钓鱼巷纯毛坯两房全明看房随,钓鱼巷小区 -建康路,1室1厅 | 40.28平米 | 南 西 | 毛坯 | 高楼层(共7层)  | 暂无数据,75,"18,620元/平"
新街口 上海路地铁口 W府大街 4房2卫 有电梯 房龄新,王府大街 -新街口,4室2厅 | 145.97平米 | 南 北 | 其他 | 中楼层(共8层)  | 板塔结合,568,"38,913元/平"
双南一北 中间楼层 小区中间 小火瓦巷 常府街地铁,小火瓦巷 -新街口,3室2厅 | 85.07平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,425,"49,959元/平"
精装修拎包入住 东边户采光好 满五唯一 诚心出售,集虹苑 -秦虹,2室1厅 | 44.04平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,118,"26,794元/平"
瑞金北村大院子里 环境好 低楼层 双南双北 不占用,瑞金北村 -瑞金路,2室1厅 | 60.61平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,265,"43,723元/平"
五老村 满五 大行宫三房低总价地铁口 诚心出售,普华巷 -五老村,3室1厅 | 56.05平米 | 东南 | 简装 | 高楼层(共7层)  | 板塔结合,130,"23,194元/平"
新上汇景家园一楼无收益金 精装可拎包入住,汇景家园汇祥苑 -洪家园,2室1厅 | 57平米 | 南 北 | 其他 | 低楼层(共6层)  | 板塔结合,158,"27,720元/平"
南部新城电梯中套 满两年 没有收 益金,汇景和园 -洪家园,2室1厅 | 72.83平米 | 南 北 | 精装 | 低楼层(共18层)  | 塔楼,140,"19,223元/平"
三室有地下室 中间楼 有固定车位 金基物业 光华门,黄埔鑫园 -光华路,3室1厅 | 95.55平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,343,"35,898元/平"
楼层好 新街口地铁站 明瓦廊美食一条街,明瓦廊 -新街口,2室1厅 | 62.49平米 | 东南 西 | 简装 | 低楼层(共7层)  | 板楼,160,"25,605元/平"
武定门地铁，秦虹商品房，全明西边户，采光好得房率高,龙蟠花苑 -秦虹,3室1厅 | 94.12平米 | 南 西 北 | 其他 | 中楼层(共6层)  | 板楼,295,"31,343元/平"
新街口 三茅巷 低楼层 双南一北 全明户型 得房率高,三茅巷 -新街口,3室1厅 | 72.49平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,230,"31,729元/平"
满五年 中间楼层  视野开阔 看房方便,建邺路住宅小区 -新街口,2室1厅 | 59.22平米 | 南 | 毛坯 | 高楼层(共34层)  | 塔楼,183,"30,902元/平"
光华路 星海路 万达紫金明珠 三室 明厨明卫 满五唯一,万达紫金明珠 -月牙湖,3室2厅 | 105.51平米 | 南 | 精装 | 低楼层(共9层)  | 板塔结合,269,"25,496元/平"
三山街地铁口万象来凤小区小三房中间楼层,金粟庵路 -来凤里,3室1厅 | 63.29平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,158,"24,965元/平"
月牙湖 光华路 正规三房 中间楼层 独立小区,海福巷 -月牙湖,3室1厅 | 71.65平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,169,"23,587元/平"
张府园小区 一号线 精装两房 中间楼层,张府园 -新街口,2室1厅 | 56.19平米 | 东 西 | 精装 | 中楼层(共6层)  | 板楼,159,"28,297元/平"
一层带架空 南北院子三开间朝南 诚心卖小区近月牙湖,月牙湖花园 -月牙湖,3室2厅 | 124.58平米 | 南 | 简装 | 低楼层(共4层)  | 板楼,518,"41,580元/平"
秦淮武定门地铁站 低总价两室，中间楼层 房型好,节制闸路 -秦虹,2室1厅 | 54.69平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,122,"22,308元/平"
