顶楼带阁楼 实用面积170平 有露台 有钥匙随时看房,南大和园 -仙林,3室2厅 | 120.03平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,500,"41,657元/平"
楼层好 全明户型 采光充足 自由装修 配套齐全,青田雅居 -尧化门,3室1厅 | 86.6平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,155,"17,899元/平"
满五年 没有增值税 采光好 视野无遮挡,亚东城东区 -仙林,4室2厅 | 149.74平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,650,"43,409元/平"
电梯房次新房 东方兰园 满两年精装三房 六七号地铁口,东方兰园 -万寿,3室2厅 | 108.58平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,345,"31,774元/平"
新上好房 环境好 户型得房率高 小区绿化好,中电颐和家园睿域 -红山,2室2厅 | 71.43平米 | 南 北 | 精装 | 低楼层(共18层)  | 塔楼,260,"36,400元/平"
西边户 双卧朝南 采光充足 视野开阔 马群地铁口,中垠紫金观邸 -马群,3室1厅 | 104.99平米 | 南 | 简装 | 中楼层(共14层)  | 板楼,388,"36,956元/平"
2017年电梯房 满2  物业尽责 招商物业 前后无遮,招商1872 -万寿,2室1厅 | 76.77平米 | 南 | 简装 | 中楼层(共31层)  | 塔楼,238,"31,002元/平"
保利紫晶山 4室2厅 南 北,保利紫晶山 -马群,4室2厅 | 170.08平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,680,"39,982元/平"
新空毛坯，小三居，电梯中间层。,中垠紫金观邸 -马群,3室1厅 | 86平米 | 南 北 | 毛坯 | 中楼层(共14层)  | 板楼,300,"34,884元/平"
栖霞 迈皋桥 满五年 产权清晰 复式跃层 阳光房,方圆绿茵 -迈皋桥,4室2厅 | 118.78平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,258,"21,721元/平"
东方兰园 精装3房 前无遮挡 随时看房 报价含产权车位,东方兰园 -万寿,3室2厅 | 123.45平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,398,"32,240元/平"
视野开阔 6.7号线地铁口 阳光雅居 精装修 诚心出售,阳光雅居 -万寿,3室1厅 | 100.19平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,240,"23,955元/平"
城北低密度 绿城物业 6号7号地铁口 大三房 值得一看,东方兰园 -万寿,3室2厅 | 137.4平米 | 南 | 毛坯 | 低楼层(共29层)  | 板楼,395,"28,749元/平"
商品房 电梯房 满五年不唯一 银城物业 南北通透,馨怡园 -迈皋桥,3室2厅 | 109.6平米 | 南 北 | 简装 | 中楼层(共17层)  | 塔楼,299,"27,282元/平"
大三房，总价低，带阁楼，业主诚售,中南世纪雅苑二期 -马群,3室2厅 | 111.43平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,229,"20,552元/平"
满两年，有个税，双南卧室，大三房，不临街，交通方便,和燕路小区 -晓庄,3室1厅 | 86.69平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,190,"21,918元/平"
南湾营润康苑 挑高6米 采光刺眼 视野开阔 诚售,南湾营润康苑 -马群,3室1厅 | 84.46平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,128,"15,156元/平"
小区门口就是地铁口生活便利出行方便房主诚心出售,阳光雅居 -万寿,2室2厅 | 84.3平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,218,"25,861元/平"
晓庄站 1号7号线 一梯两户  视野特好 采光好 不临街,大地伊丽雅特湾 -晓庄,3室2厅 | 103平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,340,"33,010元/平"
地铁口 乐居雅花园 楼层佳 简装 三房格局好,乐居雅花园 -万寿,3室1厅 | 90.18平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,190,"21,069元/平"
和燕路 过江隧道 菜场 出行方便 满五年 、双地铁,幕府山庄 -晓庄,2室1厅 | 53.7平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,128,"23,837元/平"
马群地铁口易改造，总高五楼的顶楼，诚心卖看房随时。,南湾营融康苑 -马群,3室1厅 | 85.51平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,128,"14,970元/平"
新玄武迈皋桥中电颐和家园飞机户型 小高层 得房率高,中电颐和家园一期 -红山,3室2厅 | 96.74平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,355,"36,697元/平"
好房好房 新装修未入住 仙林湖湖景房 业主诚售 有钥匙,保利罗兰春天 -仙林,4室2厅 | 128.12平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,453,"35,358元/平"
仙林香樟园，万科物业，精装三房全新未住过，中间楼层,赛世香樟园 -仙林,3室1厅 | 120.83平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,408,"33,767元/平"
视野开阔，采光充足，生活配套设施完善，交通便利。,南湾营文康苑 -马群,3室2厅 | 102.34平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,182,"17,784元/平"
洋房地铁2号线开发商精装带地暖业主诚售,融信世纪东方 -仙林,3室2厅 | 86.85平米 | 南 | 精装 | 低楼层(共9层)  | 板楼,288,"33,161元/平"
此房楼层好，日照时间长，楼栋位置好，,金地明悦 -尧化门,3室2厅 | 91.6平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,229,"25,000元/平"
此房楼层好，日照时间长，楼栋位置好，,金地明悦 -尧化门,3室2厅 | 91.6平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,229,"25,000元/平"
仙林香樟园，万科物业，精装三房全新未住过，中间楼层,赛世香樟园 -仙林,3室1厅 | 120.83平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,408,"33,767元/平"
四楼纯毛坯，户型好，交通便利，配套完善，即买即住,禧乐苑 -栖霞其它,3室1厅 | 86.82平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,50,"5,760元/平"
满五年 没有增值税 采光好 视野无遮挡,亚东城东区 -仙林,4室2厅 | 149.74平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,650,"43,409元/平"
视野开阔 采光好无遮挡 精装修 自带樱花大道,华润幸福里 -尧化门,3室2厅 | 115.85平米 | 南 | 精装 | 高楼层(共27层)  | 塔楼,255,"22,012元/平"
小区楼层好，采光好，随时看房，急售,中骏东原璟阅一期 -栖霞其它,3室2厅 | 105.83平米 | 南 北 | 精装 | 低楼层(共24层)  | 板楼,125,"11,812元/平"
顶楼带阁楼 实用面积170平 有露台 有钥匙随时看房,南大和园 -仙林,3室2厅 | 120.03平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,500,"41,657元/平"
楼层好 全明户型 采光充足 自由装修 配套齐全,青田雅居 -尧化门,3室1厅 | 86.6平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,155,"17,899元/平"
此房满五唯一 房龄新 小区环境好 人车分流,金尧华府 -尧化门,4室2厅 | 139.18平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,318,"22,849元/平"
满两年 中间楼层 采光好 格局好 带花池,金地湖城艺境 -仙林,3室2厅 | 95.89平米 | 南 | 简装 | 低楼层(共27层)  | 板塔结合,330,"34,415元/平"
精装修 户型方正 中间楼层 绿化环境好适宜居住,融信世纪东方 -仙林,3室2厅 | 118.43平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,430,"36,309元/平"
小区次新房 中间楼层采光好 诚心卖价格可谈,融信世纪东方 -仙林,3室2厅 | 99.59平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,398,"39,964元/平"
有车位 不临街 采光好 格局好 环境安静 满五年 急售,学仕风华苑 -仙林,3室2厅 | 98.84平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,230,"23,270元/平"
通透性好，全明户型，楼层好，视野开阔，采光充足,高科荣境二期 -仙林,3室2厅 | 123.46平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,630,"51,029元/平"
仙林亚东城东区 满五年 精装修 标准大三房,亚东城东区 -仙林,3室2厅 | 132.24平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,500,"37,811元/平"
马群地铁口中垠紫金观邸三房两卫 次新房  配套成熟,中垠紫金观邸 -马群,3室2厅 | 109.74平米 | 南 北 | 简装 | 中楼层(共14层)  | 板楼,339,"30,892元/平"
满两年，诚心出售，含车位，金中金小,熊猫汇智家园 -仙林,4室2厅 | 112.21平米 | 南 北 | 简装 | 低楼层(共16层)  | 板楼,245,"21,835元/平"
麒麟科创园 中南二期 中高楼层 采光无遮挡 视野开阔,中南世纪雅苑二期 -马群,3室2厅 | 85.92平米 | 南 | 毛坯 | 高楼层(共34层)  | 板塔结合,216,"25,140元/平"
仙林 金鹰旁 诚品城 多层 低总价 正规三房 位置佳,学仕风华苑 -仙林,3室1厅 | 99.02平米 | 南 | 毛坯 | 中楼层(共5层)  | 板楼,248,"25,046元/平"
6.7号线地铁口万寿站 花园城万象城，业主急售,燕华花园 -万寿,2室1厅 | 64.77平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,150,"23,159元/平"
2014年商品房 近地铁30万品牌精装 拎包入住 满三唯一,金地明悦 -尧化门,3室2厅 | 92.85平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,209,"22,510元/平"
2号沿线 前排位置号 带电梯 中间楼层 双卫 换房速售,南大和园 -仙林,3室1厅 | 129.51平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,510,"39,380元/平"
前排不临地铁 有电梯 婚装 看房方便 南大仙林,南大和园 -仙林,3室2厅 | 129.67平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,530,"40,873元/平"
三房  南北通透    视野开阔  无个税,保利罗兰香谷 -仙林,3室2厅 | 87.53平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,245,"27,991元/平"
房子满5年唯一南北户型视野宽阔采光充足配套设施齐全,中国铁建青秀城 -万寿,3室2厅 | 107.77平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,315,"29,229元/平"
金地湖城艺境 三房通透户型 位置好 双地铁 业主急售,金地湖城艺境 -仙林,3室2厅 | 95.34平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,298,"31,257元/平"
仙龙湾山庄 银城物业 电梯洋房 环境优美 城售,仙龙湾山庄 -仙林,2室1厅 | 92.86平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,336,"36,184元/平"
万达茂精装三房，品牌开发商，视野俱佳,保利罗兰春天 -仙林,3室2厅 | 96.12平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,350,"36,413元/平"
急售 双地铁 品质小区 满二年  楼层视野俱佳,融信世纪东方 -仙林,3室2厅 | 99.57平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,370,"37,160元/平"
地铁2号线 洋房开发商精装带地暖 全新未入住 金中金小,融信世纪东方 -仙林,3室2厅 | 116.1平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,530,"45,651元/平"
合适楼层大美视野，关键楼栋，诚心出售毛坯改动开间大,保利罗兰春天 -仙林,3室2厅 | 93.26平米 | 南 | 毛坯 | 高楼层(共27层)  | 板塔结合,268,"28,737元/平"
高科荣域  带露台 边户 精装 带地暖 随时看房,高科荣域 -仙林,4室2厅 | 134.88平米 | 南 | 精装 | 低楼层(共10层)  | 板楼,560,"41,519元/平"
燕子矶新城 南师 电建海赋尚城二期  小三房 婚装短住,电建海赋尚城 -万寿,3室2厅 | 86.58平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,280,"32,341元/平"
大三房，楼层好，东边户采光好，业主诚心卖,融信世纪东方 -仙林,3室2厅 | 98.37平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,365,"37,105元/平"
此房两房朝南两房朝北居家装修边户户型客厅带大阳台,东方天郡西区 -仙林,4室2厅 | 131.62平米 | 东南 | 精装 | 低楼层(共18层)  | 板楼,480,"36,469元/平"
地铁口  银城物业 电梯房跃层 阳光房  露台,馨怡园 -迈皋桥,3室1厅 | 131.02平米 | 南 北 | 简装 | 高楼层(共11层)  | 板楼,335,"25,569元/平"
边户 通透3房 不临街 满五年 南师南邮 仙林金鹰,学仕风华苑 -仙林,3室1厅 | 100.4平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,230,"22,909元/平"
仙林湖畔    楼层佳     采光好 小区环境好,万达茂御湖仕家三期 -仙林,4室2厅 | 130.48平米 | 南 | 简装 | 高楼层(共34层)  | 板楼,383,"29,354元/平"
仙林湖 自住三房 采光无挡 万达商圈内 双地铁金中金小,保利罗兰春天 -仙林,3室2厅 | 88.17平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,255,"28,922元/平"
香谷复式湖景房 一线湖景 全屋精装修 设施齐全,保利罗兰香谷 -仙林,4室2厅 | 126.8平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,460,"36,278元/平"
仙林湖 万达茂地铁口4号线 省中医 南大  看房有密码,万达茂御湖仕家三期 -仙林,3室2厅 | 97.81平米 | 南 | 简装 | 中楼层(共34层)  | 塔楼,268,"27,401元/平"
东方天郡西区  中间楼层  朝南视野无遮挡 两室大户型,东方天郡西区 -仙林,2室2厅 | 79.1平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,340,"42,984元/平"
融信 采光无遮挡 精装三大件 交通便利 满二唯一,融信世纪东方 -仙林,3室2厅 | 99.59平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,360,"36,149元/平"
主城山边别墅 中楼层 精装修 一号线 六号线 靠新玄武,雍璟府 -红山,4室2厅 | 179.14平米 | 南 | 精装 | 中楼层(共12层)  | 板楼,645,"36,006元/平"
花园洋房，景观楼层，精装未住，户型方正含车位,新城香悦澜山 -仙林,4室2厅 | 124.65平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,458,"36,743元/平"
房子满两年，精装修，总价低，业主换房诚售,中南世纪雅苑二期 -马群,3室1厅 | 95.3平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,235,"24,659元/平"
采光好，楼层好，户型方正，无遮挡,摄山星城观梅苑东区 -栖霞其它,3室1厅 | 85.36平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,128,"14,996元/平"
中间楼层 全南户型 采光无遮挡 视野好 仙林湖双地铁,万达茂御湖仕家一二期 -仙林,2室2厅 | 86.67平米 | 南 | 精装 | 中楼层(共19层)  | 板楼,250,"28,846元/平"
视野开阔 阳光刺眼 电梯房 6.7号线地铁 含车位,中国铁建青秀城 -万寿,3室1厅 | 124.64平米 | 西南 | 简装 | 高楼层(共33层)  | 板塔结合,319,"25,594元/平"
湖景房  新空  开发商精装  可拎包入住,金地湖城艺境 -仙林,3室2厅 | 117.7平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,350,"29,737元/平"
星叶枫情水岸出租装修，楼层高，采光视野无遮挡。,星叶枫情水岸 -仙林,2室1厅 | 79.07平米 | 南 北 | 简装 | 高楼层(共10层)  | 板楼,210,"26,559元/平"
仙林湖双地铁   纯毛坯   无遮挡  诚心卖房 含车位,熊猫汇智家园 -仙林,3室2厅 | 127.57平米 | 南 | 毛坯 | 低楼层(共16层)  | 板楼,255,"19,990元/平"
此房满二 湖景房 正规四房双卫 地铁口 繁华地段,万达茂御湖仕家三期 -仙林,4室2厅 | 139.04平米 | 南 北 | 毛坯 | 中楼层(共20层)  | 板楼,430,"30,927元/平"
精装修  楼层好 采光无遮挡 诚心出售，业主自住保养好,尚东花园 -仙林,3室1厅 | 92.34平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,299,"32,381元/平"
新城香悦澜山 三恒系统精装修 满五唯一 随时看房,新城香悦澜山 -仙林,3室2厅 | 88.97平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,280,"31,472元/平"
人才房 精装修 素质高 大金空调 全屋地暖 视野好,花港幸福城杜鹃园 -马群,3室1厅 | 87.76平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,143,"16,295元/平"
锦麟融誉府旁 小高层 双南 采光辣眼睛 含一个产权车位,北城嘉园 -万寿,3室1厅 | 75.7平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,205,"27,081元/平"
业主诚售，楼层高，视野好，采光很好,中南世纪雅苑二期 -马群,3室1厅 | 111.7平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,245,"21,934元/平"
小高层 低密度 大三房 精装修 保养好 采光无遮挡,星叶枫情水岸 -仙林,3室2厅 | 111.81平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,345,"30,856元/平"
满五年 自住精装修 视野好 诚心出售 有车位,新城香悦澜山 -仙林,3室2厅 | 88.67平米 | 南 北 | 精装 | 中楼层(共27层)  | 板塔结合,288,"32,480元/平"
满二年 有露台 有车位 毛坯 诚心出售  四房,熊猫汇智家园 -仙林,3室2厅 | 105.07平米 | 南 北 | 毛坯 | 低楼层(共16层)  | 板楼,238,"22,652元/平"
格局好，楼层好，精装修，配套全，交通便利,仙鹤山庄 -仙林,3室2厅 | 99.07平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,242,"24,428元/平"
楼层好 视野开阔 万达茂 采光好 户口未占用,万达茂御湖仕家三期 -仙林,3室2厅 | 111.8平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,360,"32,201元/平"
一楼带院子 48平私家花园 大三房两卫带墙暖 诚心出售,万科金色领域 -仙林,3室2厅 | 112.57平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,340,"30,204元/平"
满二 精装修 户型方正 采光不挡,翡翠天域麓园  -栖霞其它,3室2厅 | 88.31平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,245,"27,744元/平"
"电梯洋房,次新房,精装修,南北通透,格局好,诚心出售",融信世纪东方 -仙林,3室2厅 | 88.66平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,270,"30,454元/平"
次新房 开发商精装修 未入住 空调地暖新风三大件,融信世纪东方 -仙林,3室2厅 | 122.85平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,550,"44,771元/平"
满五唯一 小区中间位置 采光好 出门就是菜场,保利罗兰春天 -仙林,3室2厅 | 86.36平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,252,"29,181元/平"
中间楼层 户型好 采光好 业主诚售,方园兰庭 -迈皋桥,3室2厅 | 106.95平米 | 东 南 | 简装 | 中楼层(共6层)  | 板楼,275,"25,713元/平"
小高层，视野好采光好，业主诚心出售，满二唯一,星叶枫情水岸 -仙林,3室1厅 | 104.52平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,303,"28,990元/平"
保利国际社区  新空毛坯  笆斗山站 视野好  随时看房,保利国际社区 -燕子矶,3室1厅 | 93.99平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,308,"32,770元/平"
电梯洋房满二，二次装修，采光好，诚心售,融信世纪东方 -仙林,3室2厅 | 123.33平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,498,"40,380元/平"
新空精装修 采光通风好 户型方正 格局合理 诚心出售,新城香悦澜山 -仙林,3室1厅 | 83.51平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,269,"32,212元/平"
双阳台 二次装修 不临经天路 户型好  万科,万科金色领域 -仙林,3室2厅 | 88.29平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,265,"30,015元/平"
位置好 楼层好 有车位 户型方正 南北通透格局,亚东城东区 -仙林,3室2厅 | 106.05平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,365,"34,418元/平"
南北通透户型   业主诚售  看房随时,万达茂御湖仕家一二期 -仙林,3室2厅 | 106.55平米 | 南 北 | 简装 | 高楼层(共34层)  | 板楼,335,"31,441元/平"
青田雅居 顶层带坡顶阁楼 大户型空间更舒适 随时看房,青田雅居 -尧化门,4室2厅 | 154.86平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,209,"13,497元/平"
地铁1号线 金浦紫御东方 精装三房 业主诚心出售,金浦紫御东方 -燕子矶,3室2厅 | 78.55平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,238,"30,300元/平"
单元边户 业主自住 精装修  采光视野好 诚心出售,花港幸福城杜鹃园 -马群,3室1厅 | 87.02平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,139,"15,974元/平"
金地湖城艺境 花园洋房 中层采光好 有露台 诚售,金地湖城艺境 -仙林,4室2厅 | 118.88平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,543,"45,677元/平"
香谷精装大三房 高得房率 品质装修拎包入住 高层视野,保利罗兰香谷 -仙林,3室2厅 | 100.04平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,290,"28,989元/平"
罗兰香谷 经典三开间朝南 中间楼层采光不遮挡,保利罗兰香谷 -仙林,3室2厅 | 100.82平米 | 南 | 简装 | 中楼层(共17层)  | 板塔结合,310,"30,748元/平"
南北通透 出行便利 带有墙暖 看房方便 视野宽阔,中天铭廷 -仙林,3室2厅 | 126.01平米 | 南 北 | 其他 | 低楼层(共18层)  | 塔楼,400,"31,744元/平"
视野开阔 采光充足 交通便利 生活配套设施完善,花港幸福城玫瑰园 -马群,3室2厅 | 87.1平米 | 南 | 毛坯 | 中楼层(共27层)  | 板楼,160,"18,370元/平"
精装修三居室 格局通透 满2年 随时可看,万科金色领域 -仙林,3室2厅 | 89.35平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,275,"30,778元/平"
金地湖城艺境 三房通透户型 位置好 双地铁 业主急售,金地湖城艺境 -仙林,3室2厅 | 95.34平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,298,"31,257元/平"
此房位于地铁口 正规两室 采光佳 中间楼层 成熟小区,长营村 -迈皋桥,2室1厅 | 72.13平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,138,"19,133元/平"
新城金郡 入户带花园7平方 换房诚心出售 中间楼栋,新城金郡 -尧化门,3室1厅 | 93.91平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,195,"20,765元/平"
满5唯一 业主二次装修未入住 有产权车位,新城香悦澜山 -仙林,4室2厅 | 124.65平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,485,"38,909元/平"
万达茂摄山星城精装3房  空中别墅    可贷款,摄山星城赏菊苑 -栖霞其它,3室2厅 | 108.03平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,113,"10,461元/平"
小高层 低密度 大三房 精装修 保养好 采光无遮挡,星叶枫情水岸 -仙林,3室2厅 | 111.81平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,345,"30,856元/平"
南北通透 精装修 山景优质 次新房 看房方便,融信世纪东方 -仙林,3室2厅 | 123.22平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,440,"35,709元/平"
高楼层 小区中间位置 安静采光好 视野开阔 诚心出售,星叶枫情水岸 -仙林,3室2厅 | 108.07平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,330,"30,536元/平"
户型布局合理，诚心出售，业主诚心出售。,熊猫汇智家园 -仙林,3室2厅 | 104.14平米 | 南 北 | 毛坯 | 低楼层(共16层)  | 板楼,215,"20,646元/平"
御湖仕家湖景房，诚意出售毛坯房,万达茂御湖仕家三期 -仙林,3室2厅 | 99.89平米 | 南 | 毛坯 | 中楼层(共20层)  | 板楼,296,"29,633元/平"
仁恒104平三房一位 高得房率 仁恒物业,仁恒公园世纪 -燕子矶,3室2厅 | 103.79平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,498,"47,982元/平"
万达茂一线湖景房，中间楼层，新空毛坯，诚意出售,万达茂御湖仕家三期 -仙林,4室2厅 | 139.11平米 | 南 北 | 毛坯 | 中楼层(共20层)  | 板楼,460,"33,068元/平"
院子 地下室  高品质小区  环境好 户型方正 布局合理,高科荣境二期 -仙林,4室3厅 | 229.18平米 | 南 | 毛坯 | 低楼层(共11层)  | 板楼,750,"32,726元/平"
7号线旁 金地广场顶楼带阁楼 4房2卫 东边户采光好,尧顺佳园 -尧化门,4室2厅 | 86.53平米 | 南 | 简装 | 高楼层(共5层)  | 板楼,178,"20,571元/平"
叠加别墅 带大露台 纯毛坯 满二 无增值税,新城璞樾和山 -仙林,4室2厅 | 169.61平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,699,"41,213元/平"
通透边户 湖景 诚售可谈 户型方正 无遮挡,金地湖城艺境 -仙林,3室2厅 | 97.29平米 | 南 北 东 | 精装 | 中楼层(共25层)  | 板塔结合,338,"34,742元/平"
格局好，楼层好，精装修，配套全，交通便利,仙鹤山庄 -仙林,3室2厅 | 99.07平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,242,"24,428元/平"
此房满两年 业主诚售 看中可谈,金地湖城艺境 -仙林,3室2厅 | 97.11平米 | 南 北 | 简装 | 低楼层(共27层)  | 板楼,324,"33,365元/平"
融信世纪东方 精装修3房 户型方正 未入住,融信世纪东方 -仙林,3室2厅 | 88.66平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,285,"32,146元/平"
边户 通透3房 不临街 满五年 南师南邮 仙林金鹰,学仕风华苑 -仙林,3室1厅 | 100.4平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,230,"22,909元/平"
满二年 采光无遮挡 出行便利 紧靠仙林湖公园 万达茂,金地湖城艺境 -仙林,3室1厅 | 85.88平米 | 南 北 | 简装 | 高楼层(共27层)  | 板楼,282,"32,837元/平"
仙林湖 自住三房 采光无挡 万达商圈内 双地铁金中金小,保利罗兰春天 -仙林,3室2厅 | 88.17平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,255,"28,922元/平"
仙外旁 朗诗科技房 双卫 中间楼层 拎包入住,朗诗保利麓院 -仙林,3室2厅 | 130.1平米 | 南 北 | 精装 | 中楼层(共4层)  | 暂无数据,715,"54,958元/平"
边户朝南院子 采光无遮挡视野好 银城物业 多层洋房,仙龙湾山庄 -仙林,3室2厅 | 120.37平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,470,"39,047元/平"
毛坯三房 中上楼层 位置好 采光充足,中南世纪雅苑 -马群,3室2厅 | 93.27平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,235,"25,196元/平"
户型方正 采光好 无遮挡 小区绿化好  有车位,熊猫汇智家园 -仙林,2室1厅 | 91.37平米 | 南 | 毛坯 | 高楼层(共16层)  | 塔楼,185,"20,248元/平"
楼层好，采光充足，配套完善，业主诚心卖,万达茂御湖仕家一二期 -仙林,3室2厅 | 95.01平米 | 南 | 简装 | 低楼层(共19层)  | 板楼,255,"26,840元/平"
满两年精装拎包入住 多层住宅得房率高 看房随时！,摄山星城天佑苑 -栖霞其它,3室2厅 | 114.48平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,120,"10,483元/平"
仙林地铁花园洋房 三房两卫 含储藏室 采光视野佳,仙龙湾山庄 -仙林,3室2厅 | 131.95平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,425,"32,210元/平"
精装 大花园 新城香悦澜山 双地铁 业主诚心卖,新城香悦澜山 -仙林,3室2厅 | 112.45平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,540,"48,022元/平"
和园 带大院子好房 精装自住 直通地下室  诚心售,南大和园 -仙林,3室2厅 | 137.01平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,558,"40,727元/平"
全新毛坯 2+1书房 采光明亮 交通便利 通风好,金地湖城艺境 -仙林,3室2厅 | 86.83平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板楼,305,"35,127元/平"
星叶小高层 带花园 满两年  急售,星叶枫情水岸 -仙林,3室2厅 | 129.27平米 | 南 | 简装 | 低楼层(共11层)  | 板楼,385,"29,783元/平"
新上保利罗兰香谷100平 一楼带院子 看房方便,保利罗兰香谷 -仙林,3室2厅 | 98.9平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,305,"30,840元/平"
