中南世纪雅苑二期精装三房两卫，视野相当开阔。,中南世纪雅苑二期 -马群,3室2厅 | 111.7平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,238,"21,308元/平"
东方天郡 三房两卫 自住装修 户型方正   另有车位,东方天郡西区 -仙林,3室1厅 | 111.83平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,420,"37,558元/平"
融信 精装 满两年 户型方正 急售,融信世纪东方 -仙林,4室2厅 | 134.85平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,400,"29,663元/平"
诚心出售 3+1边户 270°采光 四房改善 视野开阔,保利罗兰春天 -仙林,4室2厅 | 121.86平米 | 南 北 | 简装 | 中楼层(共24层)  | 板塔结合,340,"27,901元/平"
次新房精装修，南北通透，三房两卫格局好，诚心出售,融信世纪东方 -仙林,3室1厅 | 99.59平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,308,"30,927元/平"
仙林湖 保利罗兰香谷  精装修 诚售,保利罗兰香谷 -仙林,4室2厅 | 122.09平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,345,"28,258元/平"
金地湖城艺境 精装修3房  诚心售卖 看中可谈,金地湖城艺境 -仙林,3室2厅 | 95.89平米 | 南 北 | 精装 | 高楼层(共27层)  | 板塔结合,265,"27,636元/平"
春天边户 精装修 无按揭 有车位 求学急售,保利罗兰春天 -仙林,3室1厅 | 93.26平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,248,"26,593元/平"
房屋楼栋、楼层、户型、装修好，地铁口满二,金科博翠花园 -燕子矶,3室2厅 | 113.15平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,390,"34,468元/平"
尧化新村  七号线口  正规三室  换房急售  价格能谈,尧化新村 -尧化门,3室2厅 | 81.91平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,115,"14,040元/平"
仙林湖 次新房 满2年 新空未入住 人车分流 看房方便,融信世纪东方 -仙林,4室2厅 | 134.85平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,435,"32,259元/平"
满五唯一 山景洋房 诚心出售 采光刺眼,保利罗兰春天 -仙林,3室2厅 | 94.16平米 | 南 | 简装 | 低楼层(共24层)  | 板塔结合,230,"24,427元/平"
随时看房 纯边户三房  视野开阔采光不挡  简单装修,茉莉园 -马群,3室1厅 | 88.46平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,112,"12,662元/平"
学则路地铁 满五年 板楼南北通透 居家精装修拎包住,亚东城东区 -仙林,3室2厅 | 106.95平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,380,"35,531元/平"
融信世纪东方 3房 新空次新房 中间楼栋楼层位置好,融信世纪东方 -仙林,3室2厅 | 88.65平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,280,"31,585元/平"
方正户型  南北通透  采光充足位置佳，精装修拎包入住,新城香悦澜山 -仙林,3室2厅 | 89.24平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,262,"29,360元/平"
含产权车位 满五年 精装三房 高楼层 有钥匙 价优,中南世纪雅苑 -马群,3室2厅 | 86.34平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,200,"23,165元/平"
新上精装改善，钥匙在店，看房随时，业主诚心出售,高科荣域 -仙林,4室2厅 | 132.19平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,450,"34,042元/平"
总高5层 三房两卫 采光无遮挡 户型方正 楼层好,天悦花园 -马群,3室1厅 | 102.3平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,220,"21,506元/平"
金桂园优质三房，好楼层视野好，业主诚心卖,花港幸福城金桂园 -马群,3室1厅 | 88.46平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,133,"15,036元/平"
精装修，总价低，拎包入住，业主诚售,中南世纪雅苑二期 -马群,3室2厅 | 85.92平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,179,"20,834元/平"
精装修，总价低，拎包入住，业主诚售,中南世纪雅苑 -马群,3室1厅 | 88.75平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,195,"21,972元/平"
满2年，格局好，装修标准高，拎包入住，采光不影响,翡翠天域麓园  -栖霞其它,3室2厅 | 88.33平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,166,"18,794元/平"
