北极西村 科利华满五年唯一双南一北带院子,北极西村 -玄武门,3室1厅 | 76.96平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,384,"49,897元/平"
兰园小区 东大房改房 房龄新 东边户 采光刺眼  中间层,兰园小区 -北京东路,3室1厅 | 85.64平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,430,"50,211元/平"
带19平露台 多层带电梯 得房率高 不靠火车道 诚心卖,紫金东郡 -仙鹤门,3室2厅 | 104.59平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,378,"36,142元/平"
侧依玄武湖 面朝紫金山 前后院子 苏式园林徽派建筑,无庶小区 -锁金村,5室2厅 | 185.36平米 | 南 | 毛坯 | 低楼层(共5层)  | 板楼,944,"50,928元/平"
业主诚意出售 使用面积大 采光视野好 环境优美,半山花园 -后宰门,4室2厅 | 165.85平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,588.88,"35,507元/平"
奥克斯钟山府 3室1厅 南 北,奥克斯钟山府 -仙鹤门,3室1厅 | 89.28平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,350,"39,203元/平"
满五年 环境优美 配套完善 近地铁 业主诚心卖,钟山花园城山水居 -卫岗,3室2厅 | 136.74平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,570,"41,685元/平"
新玄武次新房 飞机户 满2年 自住精装 采光不挡,星河天赋 -红山,3室2厅 | 103.86平米 | 南 北 | 精装 | 中楼层(共18层)  | 塔楼,530,"51,031元/平"
南京火车站玄武湖旁 中楼层 精装2房 总价低,黄家圩 -红山,2室1厅 | 66.32平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,130,"19,602元/平"
玄武区  楼层 采光佳  满五年唯一n,中电颐和家园尚玄 -红山,3室2厅 | 113.81平米 | 南 | 其他 | 中楼层(共17层)  | 板楼,320,"28,118元/平"
2012年的商品房 采光好 户型好 墨香山庄,墨香山庄 -月苑,2室2厅 | 87.51平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,236,"26,969元/平"
新装修未住，诚心卖，看房随时密码钥匙,南湾营馨康苑 -马群,3室1厅 | 84.76平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,128,"15,102元/平"
新玄武次新房 三开间朝南 满2年 40万精装 采光好,星河天赋 -红山,3室2厅 | 122.44平米 | 南 北 | 精装 | 高楼层(共25层)  | 板塔结合,600,"49,004元/平"
双南92年房龄 小区中间 钟灵街地铁口 车位充足 环境好,江苏农科院住宅小区 -孝陵卫,2室2厅 | 57.37平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,163,"28,413元/平"
玄武湖后花园 品质小区 温馨3房 有电梯 带车位 诚售,台城花园 -玄武门,3室1厅 | 65.6平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,426,"64,940元/平"
新玄武9层洋房，纯毛坯未住人四房两卫，中间位置,中电颐和家园尚玄 -红山,4室2厅 | 136.04平米 | 南 北 | 毛坯 | 低楼层(共9层)  | 板楼,468,"34,402元/平"
满五唯一，精装修两房，配套成熟，紫金山下，交通便利,樱驼花园跃新园 -樱驼花园,2室1厅 | 62.76平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,115,"18,324元/平"
下马坊 满五年 楼层佳 采光足 交通便利 配套齐,都市山庄 -孝陵卫,3室1厅 | 89.96平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,290,"32,237元/平"
非顶楼 外装电梯 看紫金山 有小区出新过 后宰门富贵山,富贵山小区 -后宰门,3室1厅 | 68.02平米 | 东南 | 简装 | 高楼层(共7层)  | 板楼,165,"24,258元/平"
珠江路 红旗新村 双南两居室 装修好采光充足 看房方便,红旗新村 -珠江路,2室1厅 | 50.74平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,168,"33,110元/平"
奥克斯精装修三房 诚心出售 楼层好位置好,奥克斯钟山府 -仙鹤门,3室1厅 | 88.62平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,320,"36,110元/平"
樱驼花园 樱铁村 一楼带院子  看房方便,樱铁村小区 -樱驼花园,2室1厅 | 46.75平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,105,"22,460元/平"
恒基中心公寓 金润发大平层 有车位 鼓楼站,恒基中心公寓 -丹凤街,4室2厅 | 196.28平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,650,"33,116元/平"
满五年 中楼层 南北通透 采光好 有小区 网巾市 地铁,杨将军巷 -长江路,2室1厅 | 50.42平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,238,"47,204元/平"
科利华 玄武门鸡鸣山庄三房精装双南一北全明 诚新出售,鸡鸣山庄 -玄武门,3室1厅 | 68.25平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,273,"40,000元/平"
视野开阔，采光充足，生活配套设施完善，交通便利。,盛和家园 -马群,1室1厅 | 51.63平米 | 南 | 毛坯 | 高楼层(共9层)  | 板塔结合,75,"14,527元/平"
科利华 韶山路小区 中间楼层 看房方便 诚心出售,韶山路小区 -红山,3室1厅 | 58.31平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,199,"34,128元/平"
业主诚心卖，盛和南区大两房，楼层好位置好采光优！,盛和家园南区 -马群,2室1厅 | 79.38平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,128,"16,125元/平"
房本外多很大空间 南北格局 视野开阔 采光刺眼 长小,杨将军巷 -长江路,3室1厅 | 55.88平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,244.3,"43,719元/平"
低总价两房科利华 鸡鸣山庄 玄武湖 中间楼层采光不挡,鸡鸣山庄 -玄武门,2室0厅 | 47.38平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,260,"54,876元/平"
高楼门小区 1998年 房龄新 两卧室朝南 交通便利,高楼门 -玄武门,2室1厅 | 71.52平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,279,"39,011元/平"
总高6层电话花园洋房 、满五年省个税，楼栋位置好,紫气钟山 -仙鹤门,2室1厅 | 59.74平米 | 东 南 | 精装 | 中楼层(共6层)  | 板楼,130,"21,761元/平"
阁楼 电梯 全明通透 军总地铁 交通生活便利 欢迎看房,黄埔花园 -后宰门,2室1厅 | 82.69平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,312,"37,732元/平"
满五，一楼带院子，小区安静，玄武湖，紫金山,丁字巷52号 -北京东路,1室1厅 | 35.63平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,115,"32,277元/平"
高楼门 科利华双南全明采光佳满五年唯一有钥匙,高楼门 -玄武门,2室1厅 | 61.7平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,300,"48,623元/平"
低楼层  采光不挡  近玄武湖  科利华  户型全明,百子亭 -玄武门,2室1厅 | 63.25平米 | 南 西 | 简装 | 低楼层(共7层)  | 板楼,299,"47,273元/平"
珠江路 浮桥地铁口 玄外旁 业主诚心出售  朝南精装修,珠江路(玄武) -珠江路,1室1厅 | 35.59平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,105,"29,503元/平"
南北格局，出行方便，配套设施齐全 户型好,太平桥南 -长江路,2室1厅 | 51.22平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,132,"25,772元/平"
科利华 昆仑路玄武湖旁 南北通透 小区出新 看房有钥匙,昆仑路 -玄武门,2室1厅 | 48.52平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,254,"52,350元/平"
科利华 西家大塘 双卧朝南 中楼层 阳光好独立小区环境,西家大塘 -玄武门,2室1厅 | 53.96平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,315,"58,377元/平"
科利华 全明三房 非顶楼 采光好,中央路（玄武） -玄武门,3室1厅 | 76.32平米 | 东 西 | 简装 | 高楼层(共6层)  | 板楼,260,"34,068元/平"
新玄武带电梯 房龄新采光视野好 业主诚心有钥匙,紫金墨香苑 -月苑,2室1厅 | 65.07平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,149,"22,899元/平"
新玄武 2010年中电尚玄 南北通透3房  楼层好 楼间距大,中电颐和家园尚玄 -红山,3室2厅 | 88.82平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,299,"33,664元/平"
孝陵卫，中建八局，房龄新，环境好，停车方便,中建八局 -孝陵卫,2室1厅 | 67.91平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,136,"20,027元/平"
玄武区电梯三室  精装修拎包入住 业主诚售,紫金墨香苑 -月苑,3室2厅 | 87.53平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,189,"21,593元/平"
南小蓁巷三房精装30平院子 不占有车位 环境好 房龄新,蓁巷 -珠江路,3室1厅 | 65.59平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,348,"53,057元/平"
地段好电梯房1998年房龄楼层好,北门桥小区 -长江路,3室1厅 | 95.62平米 | 东北 东 | 毛坯 | 高楼层(共30层)  | 塔楼,280,"29,283元/平"
美林苑  带大露台 采光好 地铁口,美林苑 -月牙湖,3室2厅 | 103.82平米 | 南 北 | 精装 | 低楼层(共7层)  | 板塔结合,380,"36,602元/平"
地铁6号线富贵山站旁一楼双南户型带院子满五唯一,富贵山小区 -后宰门,3室1厅 | 60.52平米 | 南 北 | 简装 | 低楼层(共5层)  | 板楼,198,"32,717元/平"
高楼门 双南两房 采光好 房龄新,高楼门 -玄武门,2室1厅 | 70.69平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,290,"41,025元/平"
3楼全明户型不临街闹中取净 看房方便,石婆婆庵 -长江路,2室1厅 | 54.66平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,260,"47,567元/平"
进香河 2室1厅 东,进香河 -珠江路,2室1厅 | 61.25平米 | 东 | 其他 | 低楼层(共7层)  | 板楼,172,"28,082元/平"
南理工 品质小区 环境好 房龄新 户型好 精装修,德基紫金南苑 -卫岗,2室1厅 | 91.99平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,298,"32,395元/平"
马群 电梯两房 总价低 采光好 满五年,南湾营馨康苑 -马群,2室1厅 | 63.49平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,88,"13,861元/平"
科利华，玄武湖门口，地铁一号线，环境优美小区出过新,大树根 -玄武门,2室1厅 | 73.1平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,326,"44,597元/平"
珠江路地铁口  丹凤街 丹凤新寓 唱经楼 金润发,丹凤新寓 -丹凤街,2室1厅 | 69.85平米 | 西南 | 精装 | 中楼层(共32层)  | 板塔结合,199,"28,490元/平"
95年  3楼 双南一北小三房 精装 珠江路,居安里 -丹凤街,3室1厅 | 59.61平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,233,"39,088元/平"
都市山庄 下马坊  南理工 中间楼层 三房,都市山庄 -孝陵卫,3室1厅 | 85.44平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,278,"32,538元/平"
明故宫后宰门 朝南单室套 中间楼层 总价低,后宰门街36号 -后宰门,1室1厅 | 40.95平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,88,"21,490元/平"
银城大院 双南户型 中楼层 看房提前联系,银城东苑望山苑 -卫岗,2室2厅 | 99.13平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,395,"39,847元/平"
迈皋桥地铁口 十字街小区 中间楼层 正规两室 诚心出售,十字街70号 -红山,2室1厅 | 50.92平米 | 东 西 | 简装 | 中楼层(共6层)  | 板楼,99,"19,443元/平"
南师 双南户型 不占 中间楼层 浮桥 进香河,进香河 -珠江路,2室1厅 | 60.95平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,255,"41,838元/平"
科利华 低楼层两房 采光刺眼 位置佳 钥匙房诚售,鸡鸣山庄 -玄武门,2室1厅 | 48.39平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,255,"52,697元/平"
科利华百子亭后低楼层有物业好停车双南采光好明厨明卫,百子亭后 -玄武门,2室1厅 | 60.8平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,325,"53,454元/平"
樱驼花园 樱铁村 不临街好房 低楼层 看房有钥匙,樱铁村小区 -樱驼花园,2室1厅 | 51.11平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,100,"19,566元/平"
科利华 天山路 低楼层 三房 采光不挡 独立小区,天山路 -玄武门,3室1厅 | 62.38平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,329,"52,742元/平"
珠江路南北通透楼层好满五唯一闹中取静采光好诚心卖,大纱帽巷40号 -珠江路,2室1厅 | 52.64平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,219,"41,604元/平"
斯霞南师 沙塘园 成贤街高层 有电梯 浮桥地铁口,成贤街 -珠江路,2室1厅 | 77.9平米 | 南 西南 | 精装 | 低楼层(共33层)  | 塔楼,259,"33,248元/平"
新上 地铁口景区旁 双南两房 看房方便 阳光无遮挡,前半山园 -后宰门,2室1厅 | 60平米 | 南 北 | 精装 | 中楼层(共4层)  | 板楼,168,"28,000元/平"
科利华 大树根 玄武湖 鸡鸣寺,大树根 -玄武门,3室1厅 | 60.23平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,372,"61,764元/平"
南理工 双卧朝南客厅朝南， 楼层采光好 房龄新 诚心卖,德基紫金南苑 -卫岗,2室2厅 | 91.2平米 | 南 | 简装 | 中楼层(共17层)  | 板楼,348,"38,158元/平"
小区环境好，房龄新，楼层适中，采光好 停车方便,公教一村 -北京东路,3室1厅 | 90.34平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,499,"55,236元/平"
科利华玄武门 天山路一楼双南带大院子 有车位,天山路 -玄武门,3室1厅 | 62.48平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,335,"53,618元/平"
小营户型方正 厨卫有窗旁边有停车场 中间楼层,珠江路(玄武) -珠江路,2室1厅 | 53.15平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,145,"27,282元/平"
大树根科利华  玄武湖 地铁口环境优美 出新过的小区,大树根 -玄武门,3室1厅 | 65.56平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,398,"60,708元/平"
紫金山玄武湖南师大校区 两间卧室朝南 中间楼层,板仓街78号 -锁金村,3室0厅 | 60.9平米 | 南 北 | 简装 | 中楼层(共5层)  | 板塔结合,181,"29,721元/平"
两卧朝南 2020年精装修  2号线地铁仙鹤门,仙鹤茗苑 -仙鹤门,2室1厅 | 65.55平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,123,"18,765元/平"
边户全明南北科利华精装鼓楼地铁,高楼门 -玄武门,2室1厅 | 49.74平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,280,"56,293元/平"
玄武区马高路盛和家园 精装修小套 带露台,盛和家园 -马群,1室1厅 | 51.88平米 | 南 北 | 精装 | 低楼层(共9层)  | 板塔结合,79,"15,228元/平"
科利华 采光佳！满两年 双南一北三房 户型规整,峨嵋路 -玄武门,3室1厅 | 62.66平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,299,"47,718元/平"
顶楼带露台 精装 满五年唯一  实用面积大,紫金东郡 -仙鹤门,2室1厅 | 95.66平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,345,"36,066元/平"
2023年小区玄武区精装修 户型好 采光好,紫金墨香苑 -月苑,2室1厅 | 65.39平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,155,"23,704元/平"
东大宿舍 低楼层 精装两房 新风系统 采光无遮挡,东大宿舍 -珠江路,2室1厅 | 60.54平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,288,"47,572元/平"
成小 满五唯一 南北全明 婚装 中低楼 通风好 位置佳,花红园 -珠江路,2室1厅 | 50.04平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,169.8,"33,933元/平"
明故宫地铁站 后宰门32号小区 中间楼层 低总价,后宰门街32号 -后宰门,2室1厅 | 36.59平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,93,"25,417元/平"
德基紫金南苑 两室两厅 双南户型 环境优美 2010年房,德基紫金南苑 -卫岗,2室2厅 | 91.2平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,308,"33,772元/平"
科利华经典两房，业主诚售，看房方便,鸡鸣山庄 -玄武门,2室1厅 | 54.31平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,258,"47,506元/平"
鼓楼医院  中间楼层 电梯2房 98年房龄 满五唯一,丹凤新寓 -丹凤街,2室1厅 | 61.42平米 | 东 南 | 简装 | 中楼层(共32层)  | 板塔结合,170,"27,679元/平"
樱驼花园2居室 三楼采光好 满五年唯一 南北户型地铁站,樱铁村小区 -樱驼花园,2室1厅 | 54.91平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,99,"18,030元/平"
公教一村 双地铁 旁边 后门通玄武湖 有院子 位置好,公教一村 -北京东路,1室1厅 | 37.32平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 板楼,318,"85,210元/平"
