有露台 万科物业 精装修 次新房 户型方正 采光好,万科大都会 -岔路口,4室2厅 | 142.3平米 | 南 | 其他 | 低楼层(共17层)  | 板楼,640,"44,976元/平"
万科品牌 精装复式 宁静舒适 封闭式管理 人车分流,万科金色里程 -铁心桥,2室2厅 | 68.5平米 | 南 西北 | 精装 | 高楼层(共9层)  | 板楼,199,"29,052元/平"
虹悦城商圈/ 满五年/ 经典户型/ 无浪费面积/ 采光不挡,凤凰和美 -能仁里,3室1厅 | 143.15平米 | 南 北 | 精装 | 低楼层(共34层)  | 板塔结合,499,"34,859元/平"
雨核地铁口，四房次新小区 全屋订制,中海城南公馆二期 -铁心桥,4室2厅 | 131.19平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,515,"39,257元/平"
吾悦广场 宋都精装温馨三房 楼层位置佳,宋都南郡国际北区 -板桥,3室1厅 | 88.76平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,175,"19,717元/平"
虹悦城商圈/ 12年房龄/ 满五年/ 户型方正/ 装修很不错,凤凰和美 -能仁里,3室2厅 | 123.86平米 | 南 北 | 其他 | 低楼层(共34层)  | 板塔结合,415,"33,506元/平"
高楼层 采光不遮挡 业主诚售  看房提前预约,凤凰和美 -能仁里,3室1厅 | 143.55平米 | 南 北 | 精装 | 高楼层(共34层)  | 板塔结合,498,"34,692元/平"
南京南站，花神湖，户型格局好，视野佳，采光充足,康盛花园 -宁南,3室1厅 | 139.94平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,420,"30,013元/平"
万科金色里程 精装自住 满五唯一 南北通透有车位,万科金色里程 -铁心桥,2室1厅 | 69.36平米 | 南 北 | 精装 | 高楼层(共8层)  | 板塔结合,186,"26,817元/平"
此房满五唯一 采光不遮挡 交通方便 诚心出售,阅城国际花园悠然园 -宁南,3室2厅 | 117.47平米 | 南 | 其他 | 低楼层(共11层)  | 板塔结合,445,"37,883元/平"
宋都北区 满2年 税少 精装 好楼层,宋都南郡国际北区 -板桥,3室1厅 | 89.61平米 | 南 北 | 精装 | 26层  | 板楼,175,"19,530元/平"
楼层全天采光好 精装修未住 位置佳 万科物业 金陵华兴,和昌湾景 -板桥,3室1厅 | 89.05平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,178,"19,989元/平"
南京南站 万科次新房 精装修 户型好 位置佳 业主诚售,万科大都会 -岔路口,3室2厅 | 124.62平米 | 南 北 | 精装 | 高楼层(共29层)  | 板楼,555,"44,536元/平"
双阳台，得房率高，万科物业，次新房。,万科九都荟 -岔路口,3室2厅 | 89.37平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,375,"41,961元/平"
开发商精装交付 自住保养好  诚心出售价格有空间,中南锦苑 -小行,3室1厅 | 111平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,419,"37,748元/平"
南部新城 南京南站 低单价大三房 好位置 好楼层 诚售,仁恒翠竹园 -宁南,3室2厅 | 147.5平米 | 南 北 | 简装 | 中楼层(共9层)  | 塔楼,588,"39,865元/平"
吾悦广场 金地八期 精装修三房 好楼栋 满五年 有钥匙,金地自在城第八街区 -板桥,3室2厅 | 114.78平米 | 南 | 精装 | 低楼层(共24层)  | 板楼,189,"16,467元/平"
中空调 暖气  采光好 视野好 保养好 拎包入住,金地自在城第六街区 -板桥,3室2厅 | 106.32平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,200,"18,812元/平"
满2年楼龄新 南北通透全明户型 宽敞舒适3房 物业好,弘阳春上西江 -板桥,3室2厅 | 89.34平米 | 南 北 | 简装 | 中楼层(共20层)  | 板楼,140,"15,671元/平"
此房满五年唯一 户型方正 实用三房 采光不错 诚心出售,阅城国际花园悠然园 -宁南,3室2厅 | 113.26平米 | 南 北 | 简装 | 低楼层(共11层)  | 板塔结合,410,"36,200元/平"
此房满2年、边户全明通透、采光充足，B3户型,宋都南郡国际北区 -板桥,3室2厅 | 87.54平米 | 南 东 | 毛坯 | 低楼层(共26层)  | 板楼,169,"19,306元/平"
十号线地铁口 软件大道次新房 精装修带地暖,中南锦苑 -小行,3室2厅 | 109.77平米 | 南 | 其他 | 低楼层(共26层)  | 板楼,399,"36,349元/平"
此房 采光好 无遮挡 户型方正 产证满二税少配套齐全,平治东苑 -岱山新城,3室2厅 | 85.98平米 | 南 北 | 简装 | 高楼层(共27层)  | 暂无数据,150,"17,446元/平"
平治东苑 居家精装边三房采光好 视野好 一拖四空调,平治东苑 -岱山新城,3室1厅 | 85.52平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,149,"17,423元/平"
金地八期 三房开间朝南 保养好 全天采光,金地自在城第八街区 -板桥,3室1厅 | 87.07平米 | 南 | 其他 | 中楼层(共30层)  | 板楼,156,"17,917元/平"
禹洲映月溪山 业主诚心出售 中间楼层 复式结构 次新房,映月溪山 -铁心桥,4室2厅 | 95.78平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,285,"29,756元/平"
洋房顶跃 大露台 纯毛胚 实用空间大 楼龄新1梯2户,弘阳春上西江 -板桥,4室2厅 | 143.46平米 | 南 北 | 毛坯 | 高楼层(共9层)  | 板楼,230,"16,033元/平"
安德门低总价小三房 户型方正楼层好 出行方便,时光澔韵 -小行,3室2厅 | 108.08平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,328,"30,348元/平"
满2年 次新房 ，楼层好，采光好，近地铁万科物业,万科尚都荟 -岔路口,3室2厅 | 118.56平米 | 南 北 | 其他 | 中楼层(共27层)  | 板塔结合,499,"42,089元/平"
板桥金地旁 金叶花园 精装三房 拎包入住,金叶花园 -板桥,3室2厅 | 97.94平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,110,"11,232元/平"
仁恒品质  小区中间  业主诚心  采光充足  交通便利,仁恒翠竹园 -宁南,3室2厅 | 118.68平米 | 南 北 | 精装 | 中楼层(共11层)  | 塔楼,505,"42,552元/平"
金地六期 满2年 税少 户型好 居家精装,金地自在城第六街区 -板桥,3室1厅 | 84.17平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,146,"17,346元/平"
蓝光公园壹号 四房 精装 S2板桥北站,蓝光公园1号 -板桥,4室2厅 | 125平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,232,"18,560元/平"
金地二期  三房  随时看房  采光好,金地自在城第二街区 -板桥,3室2厅 | 85.02平米 | 南 | 其他 | 高楼层(共26层)  | 板楼,123,"14,468元/平"
康盛四期 业主诚心出售看房方便,康盛花园 -宁南,3室2厅 | 112.01平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,355,"31,694元/平"
宋都南郡满五唯一税少诚心出售采光好金陵华兴旁,宋都南郡国际南区 -板桥,2室2厅 | 68.7平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,135,"19,651元/平"
业主急售，莲花湖畔，吾悦广场，婚房拎包住，看房方便,金地自在城第一街区 -板桥,3室1厅 | 88.88平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,145,"16,315元/平"
全新未入住 新河苑带电梯 好楼层 精装双南 拎包入住,春江新城新河苑一期 -铁心桥,2室1厅 | 60.04平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,150,"24,984元/平"
莲花湖畔吾悦广场朗诗绿色街区小三房全明三恒系统,朗诗绿色街区东园 -板桥,3室2厅 | 88.32平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,164,"18,569元/平"
急卖  南北两房 中间楼层 刚需必选 看房方便,邓府山村 -雨花新村,2室1厅 | 50.37平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,110,"21,839元/平"
雨实 09年商品房 环境好近卡子门有电梯有燃气,花雨南庭 -洪家园,2室1厅 | 37.91平米 | 东 | 精装 | 中楼层(共5层)  | 板楼,160,"42,206元/平"
虹悦城应天花园错层双卧朝南精装修拎包住陪读方便,应天花园 -能仁里,2室2厅 | 95.12平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,229,"24,075元/平"
板桥吾悦广场，梦幻家，南北全明，三房，满两年,明发浦泰梦幻家 -板桥,3室1厅 | 86.1平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,136,"15,796元/平"
板桥 朝阳西苑 房主换房 诚心出售,朝阳西苑 -板桥,2室1厅 | 61.04平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,86,"14,090元/平"
急急急 s3 号线地铁 雨花软件谷 满两年,春江新城升景坊 -铁心桥,2室1厅 | 49.99平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,99,"19,804元/平"
虹悦城 秦淮河畔一梯一户 全明东边户 双阳台 急售,应天花园 -能仁里,2室1厅 | 67.2平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,169,"25,149元/平"
自主精装房，全南采光足，诚心出售,金地自在城第八街区 -板桥,3室1厅 | 87.5平米 | 南 | 其他 | 中楼层(共28层)  | 板楼,162,"18,515元/平"
花神湖畔 复式跃层  实用面积大 带露台 有电梯,康盛花园 -宁南,4室2厅 | 160.46平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,458,"28,543元/平"
户型方正 采光不挡 业主诚心出售 噪音小 房龄新,名城世家花园 -小行,4室2厅 | 114.83平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,401,"34,922元/平"
南京南站南部新城发展辐射圈主城区大三房地铁口,锦明家苑 -宁南,3室1厅 | 93.17平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,239,"25,653元/平"
新上房源 经典户型 户型方正 配套完善 诚心出售,郁金香花苑 -宁南,3室2厅 | 76.71平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,279,"36,371元/平"
10号线地铁口 18年次新房 精装修 拎包住,中南锦苑 -小行,3室2厅 | 87.02平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,325,"37,348元/平"
