楼层好，采光好，价格可谈，看房随时联系业主,泉水苑 -麒麟镇,3室1厅 | 86.49平米 | 南 | 其他 | 高楼层(共34层)  | 板楼,130,"15,031元/平"
业主诚心出售，精装修，价格可谈,万科金域蓝湾 -九龙湖,3室2厅 | 116.17平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,490,"42,180元/平"
一层大面积精装修，可拎包入住，交通便利,中海国际社区三期 -麒麟科创园,4室2厅 | 136.58平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,350,"25,627元/平"
麒麟科创园 启迪方洲雅园 88平三房诚心出售 价可谈,启迪方洲雅园 -麒麟科创园,3室2厅 | 88.31平米 | 南 | 其他 | 高楼层(共30层)  | 板楼,200,"22,648元/平"
新小区，精装修 户型方正，总高18楼公摊小,云靖花园（都会学府） -江宁其它,3室2厅 | 97.9平米 | 南 北 | 其他 | 低楼层(共18层)  | 板塔结合,259,"26,456元/平"
江南青年城翠湾苑 3室2厅 南,江南青年城翠湾苑 -将军大道,3室2厅 | 112.7平米 | 南 | 其他 | 中楼层(共11层)  | 板塔结合,240,"21,296元/平"
百家湖 国际公寓新上精装大三房 南北通透 拎包入住,21世纪国际公寓 -百家湖,3室2厅 | 112.9平米 | 南 北 | 其他 | 低楼层(共31层)  | 塔楼,360,"31,887元/平"
店长推荐，秦淮河景房。河定桥大平层，业主诚心出售,金王府 -百家湖,4室2厅 | 155.98平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,550,"35,261元/平"
颐和南园 3室2厅 南,颐和南园 -九龙湖,3室2厅 | 132.98平米 | 南 | 其他 | 中楼层(共4层)  | 板楼,460,"34,592元/平"
中航樾公馆 精装三房 中间楼层 南北通透 价格可谈,中航樾公馆 -东山镇,3室2厅 | 93.85平米 | 南 北 | 其他 | 中楼层(共35层)  | 塔楼,225,"23,975元/平"
万科金域蓝湾 三期 前后无任何遮挡 通风采光优质,万科金域蓝湾 -九龙湖,3室2厅 | 89.6平米 | 南 北 | 其他 | 低楼层(共32层)  | 板楼,349,"38,951元/平"
新空 次新房 银城物业 视野好 精装修,银城旭辉云台天境 -上秦淮,3室2厅 | 87.66平米 | 南 | 其他 | 低楼层(共27层)  | 板楼,248,"28,292元/平"
边户两居室 带阁楼 户型方正  交通便利 配套齐全,殷巷新寓188至241幢 -九龙湖,2室1厅 | 65.09平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,135,"20,741元/平"
保利梧桐语花园 3室2厅 南,保利梧桐语花园 -江宁大学城,3室2厅 | 90.86平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,235,"25,864元/平"
小三房 位置好 采光视线好 诚心出售,定林苑 -麒麟镇,3室1厅 | 88.28平米 | 南 | 其他 | 中楼层(共34层)  | 板楼,118,"13,367元/平"
S6地铁口 中南麒麟锦城两房 中间楼层， 采光没遮挡,中南麒麟锦城 -麒麟镇,2室1厅 | 95.28平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,169,"17,738元/平"
万科物流。纯次新房，大横厅。全屋地暖新风系统。,璟悦名邸（时代天樾） -青龙山国际新城,3室2厅 | 119.74平米 | 南 北 | 其他 | 低楼层(共25层)  | 暂无数据,290,"24,220元/平"
此房满2年，挑高6楼有阁楼，采光通风无遮挡，能贷款,新民花苑 -江宁其它,2室2厅 | 94.53平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,86,"9,098元/平"
中粮开发商中粮物业 地段好 小区新 飞机户 洋房,中粮祥云 -江宁大学城,3室2厅 | 127.89平米 | 南 北 | 其他 | 中楼层(共11层)  | 塔楼,368,"28,775元/平"
婚装  满五唯一  前排小河边 光线充足,欣旺花苑一期 -上秦淮,3室2厅 | 96.08平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,135,"14,051元/平"
边户 电梯精装三房 边户双阳台 采光无遮挡 配套齐全,世纪东山 -东山镇,3室2厅 | 115.36平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,249,"21,585元/平"
中航樾公馆 精装三房 设施全留 业主诚售 价格可谈,中航樾公馆 -东山镇,3室2厅 | 87.82平米 | 南 | 其他 | 中楼层(共36层)  | 塔楼,210,"23,913元/平"
明月花园 3室1厅 南 北,明月花园 -东山镇,3室1厅 | 125.31平米 | 南 北 | 其他 | 低楼层(共6层)  | 板塔结合,326,"26,016元/平"
此房户型方正，采光好，视野佳，边户户型，交通便利,保利中央公园东苑 -九龙湖,3室2厅 | 90.53平米 | 南 西 北 | 其他 | 低楼层(共33层)  | 塔楼,320,"35,348元/平"
次新房，新装修带暖气，楼层好，位置好，视野开阔,雍福龙庭 -将军大道,3室1厅 | 116.95平米 | 南 | 其他 | 中楼层(共19层)  | 板塔结合,348,"29,757元/平"
南京南 双地铁 配套齐全 70年住宅 通燃气,左邻右里家园泊客公寓 -岔路口,2室1厅 | 49.57平米 | 北 | 其他 | 低楼层(共11层)  | 板塔结合,108,"21,788元/平"
两房朝南 精装修 采光无遮挡 看房方便,东新城 -东山镇,2室1厅 | 72.19平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,148,"20,502元/平"
正规四房两卫双阳台 毛坯可以根据自己的喜好装修,翠屏城 -禄口,4室2厅 | 117.57平米 | 南 北 西 | 其他 | 低楼层(共33层)  | 板塔结合,108,"9,187元/平"
通透户型 三房 科技房 恒温恒湿 带新风系统,爱涛尚逸华府 -东山镇,3室2厅 | 103.29平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,240,"23,236元/平"
翠屏城 3室2厅 南,翠屏城 -禄口,3室2厅 | 85.77平米 | 南 | 其他 | 中楼层(共28层)  | 板塔结合,75,"8,745元/平"
博学苑精装2房 满五唯一 户型通透采光好 随时可看,博学苑玉兰园 -江宁大学城,2室1厅 | 62.95平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,155,"24,623元/平"
自住装修，视野开阔，采光充足，看房方便,翠屏城 -禄口,3室1厅 | 84.97平米 | 南 北 | 其他 | 低楼层(共33层)  | 板塔结合,85,"10,004元/平"
中海御山府带电梯花园洋房 全实木家具 品牌家电,中海御山府一期 -麒麟科创园,3室2厅 | 139.5平米 | 南 | 其他 | 中楼层(共7层)  | 板塔结合,460,"32,975元/平"
满五年 50万装修 中间楼层 前无遮挡 南面是公园,启迪方洲慧园 -麒麟科创园,4室2厅 | 120.94平米 | 南 北 | 其他 | 中楼层(共18层)  | 塔楼,323,"26,708元/平"
精装修两房，业主诚心出售，采光无遮挡。,东方龙湖湾南湖苑 -江宁大学城,2室1厅 | 67.63平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,165,"24,398元/平"
户型方正，保养好，南北通透，诚意出售，价格可谈,江南青年城楚襄园 -将军大道,3室2厅 | 94.91平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,168,"17,701元/平"
中粮祥云 3室2厅 南 北,中粮祥云 -江宁大学城,3室2厅 | 97.24平米 | 南 北 | 其他 | 高楼层(共32层)  | 板楼,290,"29,824元/平"
麒麟科创园中海方正四房户型，纯边户，刚需改善适宜,中海国际社区一期 -麒麟科创园,4室2厅 | 139.18平米 | 南 | 其他 | 中楼层(共29层)  | 板楼,353,"25,363元/平"
欣旺花苑  2室1厅 南 北,欣旺花苑  -上秦淮,2室1厅 | 65.26平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,95,"14,558元/平"
朗诗物业 高楼层 大三房 业主自住 诚心出售,合家春天 -九龙湖,3室2厅 | 103.45平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,288,"27,840元/平"
中间楼层 采光无遮挡 满五年业主诚心出售,市政天元城 -东山镇,3室1厅 | 131.57平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,320,"24,322元/平"
翠屏诚园  一梯一户 四房两卫 视野无遮挡,翠屏诚园 -上秦淮,4室2厅 | 113.64平米 | 南 | 其他 | 中楼层(共15层)  | 板楼,330,"29,040元/平"
满五唯一 精装修自住房 保养好 采光好,潭桥公寓西苑 -科学园,2室1厅 | 66.68平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,128,"19,197元/平"
一楼带院子，院子有40平左右，业主精装自住房,招商依云郡 -禄口,3室1厅 | 70.84平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,130,"18,352元/平"
禄口  翠屏城  自住精装修 边户 中间楼层 看房方便,翠屏城 -禄口,4室2厅 | 116.06平米 | 南 | 其他 | 中楼层(共30层)  | 板塔结合,140,"12,063元/平"
九龙湖电梯三房   中间楼层采光好  满五年唯一诚售,合家春天 -九龙湖,3室2厅 | 101.65平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,280,"27,546元/平"
东渡国际青年城 配套成熟 看房联系,东渡国际青年城 -东山镇,2室2厅 | 85.02平米 | 南 | 其他 | 中楼层(共25层)  | 板楼,229,"26,935元/平"
名嘉佳园 双龙大道地铁口 中楼层 生活交通便利,名嘉佳园小区 -岔路口,3室2厅 | 128.7平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,300,"23,311元/平"
上海明珠花园 万达商圈 户型方正 东边户 有车库,上海明珠花园 -东山镇,4室2厅 | 178.4平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,498,"27,915元/平"
精装自住房，婚装标准，看房提前联系，随时可开门！,新民花苑 -江宁其它,2室1厅 | 65.07平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,66,"10,143元/平"
悦民公寓 2室1厅 南,悦民公寓 -麒麟镇,2室1厅 | 64.91平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,97,"14,944元/平"
龙庭水岸花园 湖景 全景视野 经典户型 非顶楼,万裕龙庭水岸 -江宁大学城,3室2厅 | 125.5平米 | 南 北 | 精装 | 18层  | 板楼,292,"23,267元/平"
低楼层，含储藏室，房型方正，配套齐全,景祥佳园 -东山镇,2室1厅 | 94.17平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板塔结合,185,"19,646元/平"
新空毛坯，带阁楼，视野开阔，业主诚心卖,锦绣花园 -麒麟镇,4室2厅 | 129.57平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,149,"11,500元/平"
成山公寓三房 位置好 低楼层 带大储藏室 自住,成山公寓 -东山镇,3室2厅 | 95.12平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,169,"17,768元/平"
低楼层，含储藏室，房型方正，配套齐全,景祥佳园 -东山镇,2室1厅 | 94.17平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板塔结合,185,"19,646元/平"
弘阳上院 高档小区 经典小3房 两厅 得房率百分之99,弘阳上院 -江宁大学城,3室2厅 | 75.76平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,270,"35,639元/平"
九龙湖精装修不靠马路，大阳台朝南随时看房,中冶天城 -九龙湖,3室2厅 | 87.81平米 | 南 北 | 其他 | 低楼层(共16层)  | 板塔结合,271,"30,863元/平"
此房满五年，楼层好，视野开阔，无遮挡,盛江花苑石榴园 -江宁滨江,3室2厅 | 103.84平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,95,"9,149元/平"
百家湖，拎包即住，采光好，两房朝南，交通便利,21世纪现代城西区 -百家湖,2室2厅 | 95.86平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,241,"25,141元/平"
南京南站商圈，次新房，南北通风的户型 双厨房,旭辉铂悦秦淮 -岔路口,3室1厅 | 126.51平米 | 南 | 其他 | 低楼层(共33层)  | 塔楼,565,"44,661元/平"
银河湾紫苑 3室1厅 南 北,银河湾紫苑 -麒麟镇,3室1厅 | 106.05平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,200,"18,860元/平"
南北通透  采 光无影响  业主诚心卖,胜泰华府 -百家湖,3室2厅 | 150.59平米 | 南 北 | 其他 | 中楼层(共21层)  | 板楼,310,"20,586元/平"
此房视野美  一号线地铁口，配套齐全，生活方便。,同曦新贵之都 -百家湖,3室2厅 | 131.29平米 | 南 北 | 其他 | 高楼层(共30层)  | 塔楼,350,"26,659元/平"
5跃6 实用性大 精装修 拎包入住 满五无个税 看房方便,东郊小镇第三街区 -麒麟镇,4室2厅 | 142.29平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,179,"12,580元/平"
银亿东城第十一街区 3室2厅 南,银亿东城第十一街区 -麒麟镇,3室2厅 | 121.09平米 | 南 | 其他 | 低楼层(共32层)  | 板塔结合,210,"17,343元/平"
开发商样板间 装修保养好 位置好  拎包入住,中航樾府 -百家湖,4室2厅 | 167.13平米 | 南 北 | 其他 | 高楼层(共12层)  | 板楼,630,"37,696元/平"
精装修 满五年 带阁楼 拎包入住 地铁口,天泽苑 -科学园,3室1厅 | 109.87平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,290,"26,395元/平"
江宁滨江 舒适精装大三房  楼层好无遮挡,新理想家 -江宁滨江,3室2厅 | 128.68平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,175,"13,600元/平"
竹山路武夷绿洲 精装修俩房 拎包入住 中间楼层,武夷绿洲观竹苑 -科学园,2室1厅 | 68.07平米 | 南 | 其他 | 中楼层(共16层)  | 板楼,175,"25,709元/平"
中航樾府 2室2厅 南,中航樾府 -百家湖,2室2厅 | 74.18平米 | 南 | 其他 | 高楼层(共22层)  | 板楼,245,"33,028元/平"
东方红郡优质两房 满五年 房子格局好楼层佳 采光全天,东方红郡 -麒麟镇,2室2厅 | 85.33平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,175,"20,509元/平"
正规三房 中间楼层 自住精装文鼎广场边 美的润锦园,美的建发润锦园 -江宁大学城,3室1厅 | 87.82平米 | 南 北 | 其他 | 中楼层(共18层)  | 塔楼,300,"34,161元/平"
紫峰公馆  G户型精装修  万科物业环境好配套齐全,紫峰公馆 -东山镇,3室2厅 | 81.54平米 | 南 | 其他 | 高楼层(共17层)  | 板楼,268,"32,868元/平"
小区环境优美，好楼层，交通方便。出门就是公交站,新理想家 -江宁滨江,3室1厅 | 104.67平米 | 南 | 其他 | 中楼层(共16层)  | 板楼,115,"10,987元/平"
好楼层，户型方正 精装修 楼层适中 采光好,融侨悦城 -江宁其它,4室2厅 | 107.66平米 | 南 北 | 其他 | 中楼层(共31层)  | 板楼,268,"24,894元/平"
位置好 采光好 装修好 业主诚心出售 随时可看,胜利新村 -百家湖,3室1厅 | 95.56平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,225,"23,546元/平"
满五年唯一，看房提前联系，精装修，楼层好 采光佳,阳光之旅 -麒麟镇,3室2厅 | 106.63平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,166,"15,568元/平"
采光炸裂 ，格局好， 、配套设施齐全  近地铁,同曦艺术家园 -百家湖,3室2厅 | 122.01平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,350,"28,687元/平"
税费少，采光好，看房方便，诚心出售,华庭南园 -青龙山国际新城,3室1厅 | 95.29平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,165,"17,316元/平"
托乐嘉花园 楼层好 装修保养好 采光视野好 满五唯一,托乐嘉单身公寓 -将军大道,2室1厅 | 69.88平米 | 北 | 其他 | 中楼层(共11层)  | 塔楼,149,"21,323元/平"
枫林湾花园 2室2厅 南 北,枫林湾花园 -东山镇,2室2厅 | 80.76平米 | 南 北 | 其他 | 中楼层(共20层)  | 板楼,242,"29,966元/平"
翠屏东南 特殊3房户型 楼层好 位置佳 看房方便,翠屏东南 -将军大道,3室2厅 | 128.82平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,320,"24,841元/平"
江山星汉城 3室2厅 南 北,江山星汉城 -禄口,3室2厅 | 91.11平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,75,"8,232元/平"
龙湖四房，好楼层，视野开阔，满两年，业主诚心卖,龙湖春江郦城 -东山镇,4室1厅 | 135.47平米 | 南 北 | 其他 | 中楼层(共34层)  | 板楼,600,"44,291元/平"
万达之畔瑶池巷经典优质户型 飞机户型  精装拎包入住,瑶池巷 -东山镇,3室2厅 | 111.88平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,275,"24,580元/平"
紫峰公馆 通透边户 不靠马路 万科物业人车分流 配套全,紫峰公馆 -东山镇,2室2厅 | 93.42平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,298,"31,899元/平"
此房户型好楼层好，龙眠大道，次新小区。竹山分校,中航樾公馆 -东山镇,3室1厅 | 87.85平米 | 南 | 其他 | 低楼层(共35层)  | 塔楼,218,"24,816元/平"
紫峰公馆  通透三房  精装修  看房方便  万达商圈,紫峰公馆 -东山镇,3室2厅 | 90.6平米 | 南 北 | 其他 | 低楼层(共17层)  | 板楼,250,"27,594元/平"
麒麟科创园 新保弘领苑 精装修 边户,新保弘领东苑 -麒麟科创园,3室2厅 | 109.71平米 | 南 | 其他 | 低楼层(共26层)  | 塔楼,360,"32,814元/平"
颐家春天花园 5室2厅 南 北,颐家春天花园 -禄口,5室2厅 | 136.4平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,130,"9,531元/平"
中粮祥云 房龄新三房 地理位置好 配套齐全 诚心卖,中粮祥云 -江宁大学城,3室2厅 | 88.9平米 | 南 北 | 其他 | 低楼层(共22层)  | 板塔结合,268,"30,147元/平"
万欣花园，有车位，精装三房，五楼看房方便,万欣花园 -东山镇,3室2厅 | 109.27平米 | 南 | 其他 | 中楼层(共7层)  | 板塔结合,306,"28,005元/平"
市政天元城三室，中楼层，位置好 有储藏室 有车位,市政天元城 -东山镇,3室2厅 | 122.8平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,345,"28,095元/平"
武夷水岸家园 3室1厅 南 北,武夷水岸家园 -东山镇,3室1厅 | 96.83平米 | 南 北 | 其他 | 中楼层(共16层)  | 板楼,190,"19,623元/平"
急售 碧桂园语林苑 精装修大三房,南京碧桂园语林苑 -江宁其它,3室2厅 | 90.65平米 | 南 | 其他 | 低楼层(共8层)  | 板楼,136,"15,003元/平"
汇景新苑 2室1厅 南,汇景新苑 -东山镇,2室1厅 | 89.69平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,220,"24,529元/平"
次新小区 环境好 户型南北通透 楼层好 视野好,中航樾公馆 -东山镇,4室2厅 | 113.53平米 | 南 北 | 精装 | 中楼层(共35层)  | 塔楼,299,"26,337元/平"
万科翡翠公园 业主二次装修 采光无遮挡,万科翡翠公园 -九龙湖,3室1厅 | 88.52平米 | 南 北 | 其他 | 中楼层(共33层)  | 板塔结合,328,"37,054元/平"
岔路口南京南 左邻右里 精装修复式 诚心出售,左邻右里 -岔路口,3室2厅 | 137.99平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,375,"27,176元/平"
此房为大平层层，得房率高，带院子，位于小区中间位置,景枫法兰谷 -江宁大学城,6室2厅 | 303平米 | 南 | 精装 | 低楼层(共5层)  | 板塔结合,1195,"39,439元/平"
户型方正，满五年唯一，精装，看房方便,南方花园C组团 -岔路口,5室3厅 | 175.26平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,348,"19,857元/平"
岔路口 天地新城天琴座 复式 大户型 单价低,天地新城天琴座 -岔路口,5室3厅 | 192.42平米 | 南 北 | 简装 | 低楼层(共3层)  | 板塔结合,419,"21,776元/平"
带大大的露台 精装修好房 小区C位 位置采光都是很棒,南方花园C组团 -岔路口,5室2厅 | 200.65平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,420,"20,932元/平"
南部新城成熟社区朗诗物业带大阁楼大露台,天地新城天琴座 -岔路口,4室2厅 | 202.97平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,350,"17,244元/平"
中海央企 242万精装 65平花园 含产权车位1 看房方便,中海御山府一期 -麒麟科创园,3室1厅 | 285.28平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,947,"33,196元/平"
南北朝向，位置安静，电梯房跃层,左邻右里 -岔路口,4室2厅 | 135.21平米 | 南 北 | 精装 | 高楼层(共10层)  | 板楼,420,"31,063元/平"
满两年，三开间朝南，环境好交通便利 配套成熟,绿城深蓝 -岔路口,4室2厅 | 143.15平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,745,"52,044元/平"
景枫法兰谷 五室六卫大平层 梯控位置好  钥匙房源,景枫法兰谷 -江宁大学城,5室2厅 | 245.16平米 | 南 北 | 毛坯 | 5层  | 板塔结合,1210,"49,356元/平"
雅士居 邻近万达 生活便利 带阁楼,雅仕居 -东山镇,4室2厅 | 164.11平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,390,"23,765元/平"
南方花园复式带阁楼和露台 精装修好房,南方花园C组团 -岔路口,4室2厅 | 161.07平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,380,"23,593元/平"
联排别墅南院子位置好空置中环境佳安静两个露台,秦淮绿洲南区 -东山镇,4室3厅 | 206.06平米 | 南 | 精装 | 低楼层(共3层)  | 暂无数据,928,"45,036元/平"
小区环境优美 户型方正 跃层两层 得房率高,中南麒麟锦城 -麒麟镇,5室2厅 | 105.28平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,268,"25,456元/平"
业主诚心卖，小区环境佳 拎包入住业主诚心卖,藏龙御景 -九龙湖,5室2厅 | 245.92平米 | 南 | 精装 | 高楼层(共29层)  | 板楼,798,"32,450元/平"
万科物业，环境优美，房型好，楼层好，采光好,文化名园 -百家湖,5室3厅 | 211.11平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,605,"28,659元/平"
房子满五年且唯一，只需要交契税，小区中间位置,东郊小镇第三街区 -麒麟镇,4室2厅 | 135.5平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,155,"11,440元/平"
电梯洋房 一梯一户 诚心出售 大花园 精装修 富力物业,富力十号 -麒麟科创园,3室2厅 | 124.39平米 | 南 北 | 精装 | 6层  | 板楼,660,"53,059元/平"
小区为数不多的跃层 满五唯一 精装修 随时看房,保利梧桐语花园 -江宁大学城,4室2厅 | 95.52平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,276,"28,895元/平"
带产权车位 跃层带大院子。业主诚售,武夷花园 -东山镇,4室2厅 | 217.11平米 | 南 北 | 精装 | 低楼层(共4层)  | 板楼,650,"29,939元/平"
东新南路313号 精装修 空间大 适合一家多口人住,东新南路313号 -东山镇,5室3厅 | 166.48平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,358,"21,505元/平"
江宁万达公馆精装大平层5房2厅4卫地铁5号线满五年,万达公馆 -东山镇,4室2厅 | 256.72平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,950,"37,006元/平"
电梯洋房 2年装修少住 总高5层带阁楼含车位 边户,景枫法兰谷 -江宁大学城,6室2厅 | 189.71平米 | 南 | 精装 | 高楼层(共5层)  | 板塔结合,950,"50,077元/平"
锦绣花园 精装修 拎包住 正规跃层 空间大 双卫双厅,锦绣花园 -麒麟镇,3室2厅 | 145.42平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,205,"14,098元/平"
宁句线S6地铁口 锦绣花园丹桂园精装顶跃 大露台,锦绣花园 -麒麟镇,6室3厅 | 226平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,288,"12,744元/平"
两层复式景观房，满五年，业主诚心出售,21世纪假日花园 -东山镇,6室3厅 | 256.11平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,550,"21,476元/平"
精装修视野好，顶楼带花园，业主诚心出售。,金陵天成 -东山镇,6室2厅 | 236.79平米 | 南 北 | 精装 | 高楼层(共18层)  | 塔楼,532,"22,468元/平"
明月新寓  三房带阁楼 装修好 有地暖,明月新寓 -东山镇,3室2厅 | 106.77平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,195,"18,264元/平"
此房大三房，复式带露台阳光房，视野好，采光好,山水方舟 -东山镇,5室2厅 | 169.48平米 | 东 南 | 其他 | 高楼层(共6层)  | 板楼,358,"21,124元/平"
景祥佳园 精装 三房 看房随时 有储 车位 业主诚心出,景祥佳园 -东山镇,3室2厅 | 126.18平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,240,"19,021元/平"
跃层，带露台，精装修，保养好，生活便利,碧水湾西园 -百家湖,5室2厅 | 199.26平米 | 南 北 | 精装 | 高楼层(共5层)  | 板塔结合,390,"19,573元/平"
带院子 实用空间大 环境好 地铁口,翠屏诚园 -上秦淮,4室3厅 | 305.59平米 | 东 南 | 其他 | 16层  | 板楼,675,"22,089元/平"
满二 百万装修 地势高 业主诚售 店长推荐,国信慧谷山居 -正方新城,4室3厅 | 251.25平米 | 南 北 | 精装 | 5层  | 板楼,500,"19,901元/平"
此房满五税费少 户型方正 诚心出售，小区环境优美。,南京恒大绿洲 -九龙湖,4室1厅 | 167.26平米 | 东 南 | 精装 | 低楼层(共11层)  | 板楼,470,"28,100元/平"
此房南北通透的顶复视野开阔采光好，商圈配套齐全。,山水方舟 -东山镇,5室3厅 | 177.92平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,455,"25,574元/平"
顶跃 顶跃   房子满两年 无增值税,武夷花园 -东山镇,5室2厅 | 127.56平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,390,"30,574元/平"
中浩学府风景 精装跃层 中间位置 不靠马路业主诚售,中浩学府风景 -江宁大学城,5室1厅 | 139.08平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,299,"21,499元/平"
弘阳上院 花园洋房 边户跃层 带大院子,弘阳上院 -江宁大学城,5室2厅 | 202.36平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板楼,650,"32,121元/平"
景枫法兰谷 精装五楼边户全屋定制家具 满五唯一,景枫法兰谷 -江宁大学城,5室2厅 | 128.79平米 | 南 北 | 精装 | 高楼层(共5层)  | 板塔结合,693,"53,809元/平"
5跃6空中花园，房间多适合大家庭,盈家春天 -岔路口,6室3厅 | 187.48平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,468,"24,963元/平"
多层顶跃带大露台 户型通透精装修带暖气位置好 近地铁,翠屏清华园 -将军大道,5室3厅 | 207.41平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,388,"18,707元/平"
带阁楼大露台实用面积大 居家精装保养好 诚售可议价,碧水湾花园 -岔路口,5室2厅 | 138.7平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,299,"21,558元/平"
满五不唯一，正规大6房，业主诚心卖,盈家春天 -岔路口,6室2厅 | 197.91平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,518,"26,174元/平"
精装修大平层 有地暖 适合三代同堂 环境优美,藏龙御景 -九龙湖,5室2厅 | 218.45平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,700,"32,044元/平"
麒麟科创园中海御山府下叠，户型方正，采光好，环境好,中海御山府二期 -麒麟科创园,4室2厅 | 258.61平米 | 南 北 | 精装 | 低楼层(共4层)  | 板楼,850,"32,869元/平"
精装三房 有阁楼实际面积大 南北通透 阳光好,金盛公寓 -岔路口,4室2厅 | 122.7平米 | 南 北 | 其他 | 低楼层(共3层)  | 板楼,223,"18,175元/平"
精装修大平层 有地暖 适合三代同堂 环境优美,藏龙御景 -九龙湖,5室2厅 | 218.45平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,700,"32,044元/平"
边户别墅户型好 很大花园 独立区块有人工湖环境好,银亿东城别院 -麒麟镇,4室2厅 | 166.75平米 | 南 | 毛坯 | 3层  | 板楼,660,"39,581元/平"
南站商圈 叠加带前后花园 采光充足,秦淮绿洲南区 -东山镇,5室2厅 | 176.31平米 | 南 北 | 精装 | 4层  | 塔楼,718,"40,724元/平"
河定桥地铁口顶跃，视野采光刺眼。,金王府 -百家湖,6室3厅 | 206.14平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,610,"29,592元/平"
