纯毛坯，全空未入住，低密度小高层，环境优美,中交锦兰荟 -江浦街道,3室2厅 | 87.91平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板塔结合,210,"23,889元/平"
世茂荣里 三房洋房 户型三开间朝南 多个书房,世茂荣里二期 -顶山街道,3室2厅 | 112.63平米 | 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,425,"37,735元/平"
满两年 业主诚心出售 户型明朗 格局分明 生活成熟完善,山水云房花园 -桥北,5室1厅 | 143.19平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,309,"21,580元/平"
满五年  复式楼  实际使用面积大  业主诚心出售,海润枫景家园 -泰山街道,4室2厅 | 136.64平米 | 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,169,"12,369元/平"
顶山街道 楼层好 不临街 户型通透明朗 生活配套齐全,珍珠花苑(浦口) -顶山街道,2室2厅 | 100.02平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,172,"17,197元/平"
江景房 高楼层 全天采光 视野宽阔 诚心出售,威尼斯水城第十六街区 -桥北,3室1厅 | 111.36平米 | 南 | 简装 | 中楼层(共33层)  | 板楼,200,"17,960元/平"
业主自住装修 次新小区 低密度洋房 好楼层,明发云庭 -顶山街道,3室2厅 | 89.32平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,244,"27,318元/平"
10号线文德路站旁 出行方便 诚心出售，彩光无遮挡,北门新村 -江浦街道,3室2厅 | 94.61平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,196,"20,717元/平"
江北新区扬子江隧道口  户型方正 交通便利 楼层采光好,观山悦 -顶山街道,3室1厅 | 117.87平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,396,"33,597元/平"
湖景房楼下有个租赁车位 还有独立的储藏室 看房有钥匙,盘龙山庄 -浦口其它,3室1厅 | 97.79平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,154,"15,749元/平"
珍珠花园 顶楼跃层 满五 实用面积高 业主诚心卖房,珍珠花苑(浦口) -顶山街道,3室1厅 | 127.23平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,190,"14,934元/平"
扬子江金茂悦 视野开阔 开发商精装 新小区 诚心出售,观邸悦茂花园 -顶山街道,3室2厅 | 117.12平米 | 南 | 其他 | 中楼层(共22层)  | 板楼,440,"37,569元/平"
盘欣家园 满五不唯一 证件齐全 户型方正 采光充足,盘欣家园 -浦口其它,3室2厅 | 97.79平米 | 南 | 简装 | 中楼层(共18层)  | 板楼,125,"12,783元/平"
爱上城 底跃 精装修 诚心卖 看房方便,旭日爱上城第四区北区 -桥北,3室2厅 | 166.6平米 | 南 | 精装 | 低楼层(共23层)  | 塔楼,293,"17,588元/平"
户型好 诚心卖 看房方便 得房率高,正荣润江城 -顶山街道,4室2厅 | 125.45平米 | 东南 | 毛坯 | 低楼层(共33层)  | 板塔结合,490,"39,060元/平"
精装高楼层，视野好采光足，环境佳，随时看房,正荣润锦城 -顶山街道,3室2厅 | 86.02平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,310,"36,039元/平"
锦汇苑户型方正 南北通透 采光充足 无遮挡 交通便利,锦汇苑 -桥北,3室2厅 | 78.89平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,150,"19,014元/平"
明发香山郡 精装三房 保养如新 满两年,明发香山郡 -江浦街道,3室2厅 | 113.24平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,285,"25,168元/平"
弘阳地产 楼层好 采光充足 交通便利,旭日爱上城第三区 -桥北,3室2厅 | 87.81平米 | 南 | 简装 | 中楼层(共10层)  | 板楼,186,"21,183元/平"
纬三路隧道口 交通出行便利 、大三房居家自住,商城小区 -顶山街道,3室1厅 | 102平米 | 南 北 | 其他 | 高楼层(共4层)  | 板塔结合,140,"13,726元/平"
旭日爱上城三区 大四房 采光好 纯毛坯 满五年,旭日爱上城第三区 -桥北,4室2厅 | 123.59平米 | 南 | 毛坯 | 中楼层(共23层)  | 板楼,298,"24,112元/平"
星岛园 三房户型 采光足 环境优美 精装修 随时看房,旭日爱上城第三区 -桥北,3室2厅 | 91.57平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,205,"22,388元/平"
扬子江隧道 健康城板块 地铁4号线 三居大平层,阳光帝景 -顶山街道,3室2厅 | 141.96平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,268,"18,879元/平"
飞机户型，三开间朝南，双阳台，宜居三室，居家高享受,融侨观邸二期 -江浦街道,3室2厅 | 132.19平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,370,"27,991元/平"
江北南工大板块 品质小区 可看山景 户型好得房率高,通宇林景熙园 -顶山街道,3室2厅 | 122.81平米 | 南 | 毛坯 | 低楼层(共11层)  | 板楼,280,"22,800元/平"
业主诚心出售，好房多多推荐。。。。。,杨柳新村 -江浦街道,3室2厅 | 135.38平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,203,"14,995元/平"
满五年 中间位置 不临高架 房型方正南北通透 采光好,明发城市广场 -顶山街道,3室2厅 | 119.16平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,230,"19,302元/平"
万科品质 满两年 边户 精装修 好楼层拎包住 诚心出售,万科璞悦山 -江浦街道,3室2厅 | 84.79平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,214,"25,239元/平"
精品装修大三房，全屋品牌家电家具，拎包入住,通宇林景熙园 -顶山街道,3室2厅 | 117.84平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,339,"28,768元/平"
山水金盾  中间楼层   三房  诚售,山水金盾花园 -顶山街道,3室2厅 | 89.32平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,140,"15,674元/平"
隧道口 飞机户型三房 得房率85%看房方便 诚心急售,明发城市广场 -顶山街道,3室1厅 | 128.27平米 | 南 | 简装 | 低楼层(共11层)  | 板楼,289,"22,531元/平"
山水云房五期 硬装20万 正规三房 居家装修 随时看房,山水云房花园 -桥北,3室2厅 | 107.93平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,202,"18,716元/平"
光线没有遮挡，边户，居家装修，拎包入住,天润城第十三街区 -桥北,3室1厅 | 85.71平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,165,"19,251元/平"
中上楼层 纯毛坯 南北通透  可见江景 看房方便,威尼斯水城第三街区 -桥北,3室2厅 | 126.31平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,230,"18,210元/平"
洋房下叠四室三卫 带65平的院子，业主诚心出售,金地浅山艺境 -顶山街道,4室2厅 | 135.72平米 | 东南 | 毛坯 | 低楼层(共6层)  | 板楼,485,"35,736元/平"
光线没有遮挡，边户，居家装修，拎包入住,天润城第十三街区 -桥北,3室1厅 | 85.71平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,165,"19,251元/平"
明发板房  随时看房 户型方正 看房方便,明发滨江新城二期 -桥北,3室2厅 | 118.86平米 | 南 北 | 简装 | 高楼层(共9层)  | 板楼,318,"26,755元/平"
老山脚下 绿城物业 一梯两户小高层 纯毛坯 价格可谈,明发香山郡 -江浦街道,3室2厅 | 113.29平米 | 南 | 毛坯 | 中楼层(共11层)  | 板塔结合,278,"24,539元/平"
顶楼带5.76米挑高 采光好 有约70平大露台可做空中花园,明发香山郡 -江浦街道,3室2厅 | 112.73平米 | 南 | 毛坯 | 高楼层(共9层)  | 板塔结合,300,"26,613元/平"
明发香山郡绿城物业小区人车分离户型,明发香山郡 -江浦街道,4室2厅 | 121.78平米 | 南 | 毛坯 | 高楼层(共11层)  | 板塔结合,298,"24,471元/平"
世茂荣里二期小区中间幢，采光也是好，装修全是品牌。,世茂荣里二期 -顶山街道,3室2厅 | 113.35平米 | 东南 | 精装 | 中楼层(共11层)  | 板塔结合,380,"33,525元/平"
小区中间位置 采光充足 业主诚心卖房 洋房 交通便利,观山悦 -顶山街道,3室2厅 | 139.28平米 | 南 | 毛坯 | 中楼层(共5层)  | 板楼,400,"28,720元/平"
江北新区 隧道口 随时可看房 交通便利,世茂荣里一期 -顶山街道,3室2厅 | 106.65平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,350,"32,818元/平"
江北新区精装花园洋房 配套成熟 交通便利 看房方便,世茂荣里一期 -顶山街道,4室2厅 | 123.81平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,558.8,"45,134元/平"
西边户  视野采光好 精装修拎包入住 随时可看,融侨观邸二期 -江浦街道,4室2厅 | 143.67平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,368,"25,615元/平"
满五年 小三房 简装 无贷款抵押 无户口,新城香溢紫郡雅苑 -高新区,3室2厅 | 73.96平米 | 南 | 简装 | 低楼层(共34层)  | 板塔结合,150,"20,282元/平"
老山脚下小洋房  一梯一户新空毛坯,明发香山郡 -江浦街道,3室2厅 | 126.8平米 | 南 | 毛坯 | 低楼层(共7层)  | 板塔结合,295,"23,265元/平"
扬子江隧道口   五层洋房  两梯两户,观山悦 -顶山街道,3室2厅 | 133.71平米 | 西南 | 毛坯 | 中楼层(共5层)  | 板楼,405,"30,290元/平"
保利开发商 优质楼层 采光无遮挡 户型方正 地铁口,保利云禧 -江浦街道,3室2厅 | 98.01平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板塔结合,299,"30,508元/平"
泰来苑阁楼 复式  四室三厅 精装 带露台,泰来苑 -泰山街道,4室3厅 | 88.52平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,162,"18,301元/平"
恒辉翡翠花园 交通便利 奥林广场 弘阳广场,恒辉翡翠花园 -桥北,3室2厅 | 104.33平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,159.8,"15,317元/平"
多层正规三房，不临街，看房随时，业主急卖,旭日家园 -桥北,3室2厅 | 92.81平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,155,"16,701元/平"
金城丽景三房 地铁口 弘阳商圈  配套全 诚心出售,金城丽景北区 -桥北,3室2厅 | 110.53平米 | 南 | 简装 | 低楼层(共18层)  | 塔楼,172,"15,562元/平"
弘阳物业 品质小区 南北通透双阳台 全天采光,弘阳旭日上城三区 -桥北,3室2厅 | 129.27平米 | 南 北 | 简装 | 高楼层(共32层)  | 板楼,299,"23,130元/平"
改善 四叶草户型 业主诚心出售 价格可谈！,金隅紫京叠院 -江浦街道,4室2厅 | 143.02平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,420,"29,367元/平"
银城物业，电梯洋房；好楼层，视野采光好,旭辉银城白马澜山 -江浦街道,3室2厅 | 87.54平米 | 南 | 毛坯 | 中楼层(共8层)  | 板楼,270,"30,844元/平"
税费少 中间楼层 阳光充足 诚心出售,融侨观邸三期 -江浦街道,3室1厅 | 88.77平米 | 南 北 | 精装 | 中楼层(共11层)  | 暂无数据,245,"27,600元/平"
白马澜山 银城物业  低密度洋房  楼层好,旭辉银城白马澜山 -江浦街道,3室1厅 | 86.29平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,330,"38,244元/平"
榴美颂 配套完善 交通便利 业主诚售,大华锦绣华城榴美颂 -桥北,3室2厅 | 132.77平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,270,"20,336元/平"
万科物业，户型方正，环境优美，满两年,万科金色半山 -江浦街道,3室1厅 | 86.55平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,210,"24,264元/平"
龙王山风景房 业主诚心出售 精装修拎包入住,朗诗未来街区一期 -高新区,3室1厅 | 75.68平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,150,"19,821元/平"
招商兰溪谷 龙王山风景房  飞机户  小区热门户型,招商依山溪谷花园西苑 -高新区,3室2厅 | 86.41平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,229,"26,502元/平"
边户户型 精装修拎包入住 业主诚心,正荣润江城 -顶山街道,3室1厅 | 88.36平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,418,"47,307元/平"
扬子江隧道口 4号线地铁口 世茂荣里二期  毛坯洋房,世茂荣里二期 -顶山街道,4室2厅 | 112.63平米 | 南 | 毛坯 | 低楼层(共6层)  | 板塔结合,325,"28,856元/平"
山水金盾花园  毛坯三房  房主诚售,山水金盾花园 -顶山街道,3室2厅 | 82.19平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,105,"12,776元/平"
边户户型 精装修拎包入住 业主诚心,正荣润江城 -顶山街道,3室1厅 | 88.36平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,418,"47,307元/平"
明发一期西园 全明2房T户型 满五年 一线江景房,明发滨江一期 -桥北,2室1厅 | 90.09平米 | 南 北 | 简装 | 高楼层(共12层)  | 板塔结合,195,"21,646元/平"
金陵学府 兰溪公园 高得房率 中交品质物业 诚意出售,中交锦兰荟 -江浦街道,4室2厅 | 142.84平米 | 南 | 毛坯 | 低楼层(共11层)  | 板塔结合,372,"26,044元/平"
大华锦绣华城阅江山 3室2厅 南,大华锦绣华城阅江山 -桥北,3室2厅 | 106.64平米 | 南 | 毛坯 | 高楼层(共9层)  | 板楼,340,"31,883元/平"
居家三房 户型端正 采光好 楼栋位置好,明发滨江新城大三期 -桥北,4室2厅 | 142.32平米 | 南 | 简装 | 高楼层(共34层)  | 塔楼,265,"18,621元/平"
楼层好 采光充足 无遮挡 配套成熟 交通便利,象山花园 -江浦街道,3室2厅 | 126.56平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,192,"15,171元/平"
保利云禧  地铁口 看中价格可以谈,保利云禧 -江浦街道,3室2厅 | 98.76平米 | 南 | 其他 | 中楼层(共11层)  | 板塔结合,303,"30,681元/平"
洋房小区 环境优美 配套成熟 交通便利,大华锦绣时代 -桥北,3室2厅 | 111.32平米 | 南 | 毛坯 | 中楼层(共8层)  | 板楼,320,"28,746元/平"
老山脚下法兰西建筑风格毛坯三房诚售,融侨观邸三期 -江浦街道,3室2厅 | 108.12平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,296,"27,377元/平"
诚心出售  林景雅园  精装大三房  南北通透,通宇林景雅园 -江浦街道,3室2厅 | 129.13平米 | 南 北 | 精装 | 低楼层(共11层)  | 塔楼,343,"26,563元/平"
保利开发商 优质楼层 户型方正 地铁口 龙湖天街,保利云禧 -江浦街道,3室2厅 | 126.27平米 | 南 | 毛坯 | 中楼层(共9层)  | 板塔结合,430,"34,055元/平"
业主诚心出售，楼栋位置佳，视野佳,天润城第十四街区 -桥北,3室1厅 | 89.8平米 | 南 | 简装 | 中楼层(共18层)  | 板楼,175,"19,488元/平"
此房满二年 花园洋房 南北户型 采光充足 配套齐全,威尼斯水城第二街区 -桥北,4室2厅 | 97.2平米 | 南 | 精装 | 高楼层(共5层)  | 板塔结合,220,"22,634元/平"
山景房 纯毛坯 满2年 顶跃好房,通宇林景雅园 -江浦街道,5室2厅 | 125.74平米 | 南 | 毛坯 | 高楼层(共11层)  | 塔楼,430,"34,198元/平"
17年交付的新小区，通透户型，楼层好，包含产权车位,弘阳爱上花园 -泰山街道,3室2厅 | 86.79平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,210,"24,197元/平"
招商精装小三房 满五唯一 带车位 一梯一户 通 透性好,招商依山溪谷花园西苑 -高新区,3室2厅 | 75.76平米 | 南 | 精装 | 低楼层(共15层)  | 板塔结合,190,"25,080元/平"
楼层好 视野宽阔 采光充足 交通便利,天和苑东区 -桥北,3室1厅 | 128.8平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,195,"15,140元/平"
旭日爱上城五期 双南户型 满五年唯一 出行方便,旭日爱上城第五区 -桥北,2室1厅 | 90.9平米 | 南 北 | 精装 | 高楼层(共27层)  | 塔楼,220,"24,203元/平"
银城物业，低密度 ，房屋格局方正，楼层好采光好,旭辉银城白马澜山 -江浦街道,4室2厅 | 113.96平米 | 南 | 毛坯 | 中楼层(共8层)  | 板楼,400,"35,101元/平"
银城颐居悦见山 新空未住 中高楼层 品质小区 满两年,银城颐居悦见山 -江浦街道,3室2厅 | 87.98平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,285,"32,394元/平"
开发商精装修交付三大件齐全 准新房 户型方正,海悦花园 -泰山街道,4室2厅 | 125.68平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,380,"30,236元/平"
双地铁口 楼层好 采光充足 业主诚心卖 看房方便,天华硅谷庄园 -泰山街道,3室2厅 | 89.46平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,170,"19,003元/平"
次新小区 近地铁 高楼层东边户 明厨明卫 视野宽阔,天润城第十六街区北区 -桥北,3室2厅 | 130.01平米 | 南 东 | 精装 | 高楼层(共32层)  | 板塔结合,215,"16,538元/平"
精装 满两年 小区景观位置 边户 采光无遮挡 随时看房,旭日爱上城第六区 -桥北,3室2厅 | 111.51平米 | 南 北 | 精装 | 低楼层(共22层)  | 塔楼,329,"29,505元/平"
S8和3号线双地铁口双南一北精装三房,钟材厂 -泰山街道,3室1厅 | 72.75平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,80,"10,997元/平"
朗诗刚需三房  精装修  采光视野好 房主诚心出售,朗诗未来街区二期 -高新区,3室2厅 | 73.32平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,170,"23,187元/平"
满五唯一 户型较少 方方正正 陈宇诚菜场 弘阳商圈,天润城第七街区 -桥北,2室2厅 | 93.47平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,175,"18,723元/平"
楼层和楼栋位置优越，小区配套设施齐全，房主换房诚售,明发滨江新城二期 -桥北,3室2厅 | 119.15平米 | 南 | 简装 | 低楼层(共10层)  | 板楼,221,"18,549元/平"
小三期地铁口 1914夜市街 配套好,明发滨江新城三期 -桥北,3室2厅 | 119.29平米 | 南 | 其他 | 中楼层(共12层)  | 板楼,300,"25,149元/平"
银城颐居悦见山  新空未住  中高楼层  品质小区满2年,银城颐居悦见山 -江浦街道,3室2厅 | 87.98平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,320,"36,372元/平"
楼层和楼栋位置优越，小区配套设施齐全，房主换房诚售,明发滨江新城二期 -桥北,3室2厅 | 119.15平米 | 南 | 简装 | 低楼层(共10层)  | 板楼,221,"18,549元/平"
精装 满两年 小区景观位置 边户 采光无遮挡 随时看房,旭日爱上城第六区 -桥北,3室2厅 | 111.51平米 | 南 北 | 精装 | 低楼层(共22层)  | 塔楼,329,"29,505元/平"
小区中间位置 中高楼层 采光明亮 户型好,弘阳旭日上城三区 -桥北,3室2厅 | 137.26平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,350,"25,500元/平"
格局规整 户型方正 楼前无遮挡 精装自住,大华锦绣华城榴美颂 -桥北,3室2厅 | 132.76平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,270,"20,338元/平"
香榭顶跃 空中花园有100平露台可以用 含产权车位,大华锦绣华城香榭美颂 -桥北,5室2厅 | 166.91平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,580,"34,750元/平"
S8和3号线双地铁口双南一北精装三房,钟材厂 -泰山街道,3室1厅 | 72.75平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,80,"10,997元/平"
楼层好 采光充足 无遮挡 配套成熟 交通便利,象山花园 -江浦街道,3室2厅 | 126.56平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,192,"15,171元/平"
保利开发商 优质楼层 户型方正 地铁口 龙湖天街,保利云禧 -江浦街道,3室2厅 | 126.27平米 | 南 | 毛坯 | 中楼层(共9层)  | 板塔结合,430,"34,055元/平"
诚心出售  林景雅园  精装大三房  南北通透,通宇林景雅园 -江浦街道,3室2厅 | 129.13平米 | 南 北 | 精装 | 低楼层(共11层)  | 塔楼,343,"26,563元/平"
老山脚下 电梯洋房 万科物业  次顶楼,万科璞悦山 -江浦街道,3室2厅 | 115.94平米 | 南 西 北 | 毛坯 | 高楼层(共6层)  | 板楼,246,"21,218元/平"
急售 鼎泰大三房 精装 楼层好 视野佳 隧道口 地铁口,鼎泰家园 -桥北,3室2厅 | 119.7平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,155,"12,950元/平"
万科精装三房 12年教育仅一步之遥,万科金色半山 -江浦街道,3室1厅 | 86.97平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,192,"22,077元/平"
江北新区 华润国际社区 次新房 开发商精装 诚心出售,华润国际社区 -顶山街道,3室2厅 | 89.18平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,308,"34,537元/平"
盘城新居 低价出售 业主诚心卖 采光无遮挡 可小刀,盘城新居 -浦口其它,3室1厅 | 98.15平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,99,"10,087元/平"
地铁口 隧道口 飞机户型大三房 满五年 拎包入住,锦汇苑 -桥北,3室2厅 | 117.96平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,175,"14,836元/平"
华润国际  开发商精装修 中间楼层  采光视野好,华润国际社区 -顶山街道,3室2厅 | 110.14平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,375,"34,048元/平"
江景房，3房2卫，飞机户型，采光好，视野开阔！,雅居乐滨江国际三四期 -顶山街道,3室2厅 | 135.22平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,450,"33,280元/平"
浦东花园三房  中间楼层采光好  诚心出售,浦东花园 -泰山街道,3室2厅 | 115平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,180,"15,653元/平"
房东诚心售房，房子格局好，交通便利，配套齐全,朗诗未来街区二期 -高新区,3室2厅 | 78.25平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,146,"18,659元/平"
海德北岸 一线江景 业主诚心卖价格可沟通,海德北岸城 -桥北,2室2厅 | 88.68平米 | 南 | 简装 | 高楼层(共18层)  | 塔楼,149,"16,802元/平"
毛坯大三房  中间楼层  采光无遮挡 业主诚售 看房随时,威尼斯水城第十一街区 -桥北,3室2厅 | 130.39平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板楼,280,"21,475元/平"
南北通透，中间楼层，采光好，视野好,旭日爱上城第四区北区 -桥北,3室2厅 | 111.6平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 塔楼,290,"25,986元/平"
万人摇号盘 扬子江金茂悦中间楼层精装修小三房满两年,观邸悦茂花园 -顶山街道,3室2厅 | 89.07平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,315,"35,366元/平"
隧道口 飞机户型 小洋房 世茂荣里急售好房,世茂荣里二期 -顶山街道,3室2厅 | 86.57平米 | 南 | 简装 | 中楼层(共11层)  | 板塔结合,255,"29,456元/平"
香榭美颂洋房 满两年 三房 采光及 视野好 简装 无户口,大华锦绣华城香榭美颂 -桥北,3室2厅 | 92.41平米 | 南 | 其他 | 低楼层(共8层)  | 板楼,236,"25,539元/平"
旭日爱上城三区边户 居家装修视野好 保养的好,旭日爱上城第三区 -桥北,4室2厅 | 121.81平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,291,"23,890元/平"
满五唯一，采光无遮挡，小区新，环境好,天润城第十四街区 -桥北,3室2厅 | 85.46平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,185,"21,648元/平"
明发二期 板式户型 南北通透 毛坯三房 采光足 近地铁,明发滨江新城二期 -桥北,3室2厅 | 115.27平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板塔结合,248,"21,515元/平"
朗诗未来街区一期洋房中间楼层，通透三房，随时看房,朗诗未来街区一期 -高新区,3室2厅 | 82.01平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,208,"25,363元/平"
次顶楼 小区中间位置，龙湖天街长江五桥,中交锦兰荟 -江浦街道,3室2厅 | 87.73平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板塔结合,220,"25,077元/平"
江北新区 奥林广场 南苑 四房三南 大户型,浦厂南苑 -桥北,4室1厅 | 108.28平米 | 南 | 毛坯 | 中楼层(共6层)  | 暂无数据,160,"14,777元/平"
花漾紫郡精装修 设施齐全 拎包入住,新城花漾紫郡 -高新区,3室1厅 | 77.42平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,180,"23,250元/平"
五桥口，10号雨山路，边户三房，业主装修过,中海万锦熙岸一期 -江浦街道,3室2厅 | 109.12平米 | 南 北 | 简装 | 中楼层(共21层)  | 板楼,210,"19,245元/平"
泰山天然居 电梯五房二卫 复式跃层  采光好,泰山天然居 -泰山街道,5室2厅 | 134.97平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,260,"19,264元/平"
印悦府 洋房 大平层 带电梯 地铁口 业主急售 可看房,印悦府 -高新区,4室2厅 | 132.28平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,385,"29,105元/平"
此房是老山脚下，开发商精装修的花园洋房，看房方便,万科金色半山 -江浦街道,3室2厅 | 130.65平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,290,"22,197元/平"
好位置 采光好，精装修，拎包入住，业主诚心出售,铭人丽岛 -桥北,3室1厅 | 96.33平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,169,"17,544元/平"
天润城第六街区 3室2厅 南,天润城第六街区 -桥北,3室2厅 | 110.2平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,152,"13,794元/平"
绿地海悦精装修三房 地段好 环境好,绿地海悦 -顶山街道,3室2厅 | 96.47平米 | 南 北 | 精装 | 中楼层(共23层)  | 板楼,360,"37,318元/平"
明发大三期 近地铁  满五唯一 房子 多15个平方,明发滨江新城大三期 -桥北,3室2厅 | 110.92平米 | 南 北 | 精装 | 低楼层(共27层)  | 塔楼,235,"21,187元/平"
采光好，通风好，花园式小区，改善型住宅 好楼层,弘阳旭日上城二区 -桥北,3室2厅 | 129.94平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,280,"21,549元/平"
楼层好采光视野不遮挡满五年南北通透大三房两卫,弘阳旭日上城三区 -桥北,3室2厅 | 132.02平米 | 南 北 | 简装 | 高楼层(共29层)  | 板楼,269,"20,376元/平"
次顶楼 小区中间位置，龙湖天街长江五桥,中交锦兰荟 -江浦街道,3室2厅 | 87.73平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板塔结合,220,"25,077元/平"
中间楼层 已改造 看房随时 满二,融侨观邸三期 -江浦街道,3室2厅 | 108.67平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,273,"25,122元/平"
下桥口 144平大四房 毛坯江景,明发滨江新城大三期 -桥北,4室2厅 | 144.06平米 | 南 | 毛坯 | 高楼层(共27层)  | 塔楼,290,"20,131元/平"
朗诗小三房，采光好，小区环境好 ，户型方正,朗诗未来街区二期 -高新区,3室2厅 | 73.26平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,158,"21,568元/平"
满二年  无增值税   户型通透   带产权车位,招商依山溪谷花园东苑 -高新区,3室2厅 | 74.86平米 | 南 北 | 毛坯 | 中楼层(共16层)  | 板楼,199,"26,583元/平"
大三房，飞机户 房视野开阔 楼层好 采光充足 交通便利,锦澜府 -泰山街道,3室2厅 | 105平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 塔楼,205,"19,524元/平"
香榭美颂8层带电梯洋房 大三房精装 位置阳光好,大华锦绣华城香榭美颂 -桥北,3室2厅 | 108.73平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,289,"26,580元/平"
满五唯一，高楼层，精装修，采光好，视野开阔,旭日爱上城第四区北区 -桥北,3室2厅 | 110.62平米 | 南 | 精装 | 高楼层(共23层)  | 塔楼,274.8,"24,842元/平"
次新小区比较便宜，看房有钥匙，业主诚心出售。,金盛田阳光青城 -江浦街道,2室2厅 | 87.76平米 | 南 | 简装 | 低楼层(共17层)  | 板塔结合,210,"23,929元/平"
