万科物业，视野采光好 此房户型格局方正，开间朝南,融侨观邸三期 -江浦街道,3室2厅 | 105.56平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,256,"24,252元/平"
近地铁，业主诚心，楼间距大，房型方正,威尼斯水城第四街区 -桥北,3室2厅 | 107.39平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,188,"17,507元/平"
满五年唯一，全明房型，视野阔，配套齐全，仰望摩天轮,天润城第六街区 -桥北,2室2厅 | 89.76平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,106,"11,810元/平"
4楼 有储藏室 靠地铁S8信息工程大学站口,盘龙山庄 -浦口其它,2室2厅 | 87.57平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,99,"11,306元/平"
观邸悦茂花园 精装修三房 环境好地段好,观邸悦茂花园 -顶山街道,3室2厅 | 111.52平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,336,"30,130元/平"
天润城三居室，好户型，好楼层，得房率高,天润城第七街区 -桥北,3室2厅 | 89.83平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,148,"16,476元/平"
中海万锦熙岸二期 精装 西边户 诚售 看房随时 位置好,中海万锦熙岸二期 -江浦街道,3室2厅 | 114.74平米 | 南 北 | 精装 | 低楼层(共18层)  | 塔楼,220,"19,174元/平"
虹悦城旁 地铁口 满两年 高品质社区,中建国熙台二期 -江浦街道,3室2厅 | 96.96平米 | 南 | 精装 | 高楼层(共28层)  | 板塔结合,250,"25,784元/平"
明发滨江新城全明户型，采光好，地理位置优越,明发滨江新城三期 -桥北,3室2厅 | 115平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,205,"17,827元/平"
江与城  精装交付  小高层  新风 空调加地暖交付,江与城 -顶山街道,3室2厅 | 118.63平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,389,"32,792元/平"
急售 朗诗红树林 精装修 小三房 视野开阔 采光无遮挡,金象朗诗红树林 -桥北,3室2厅 | 88.46平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,255,"28,827元/平"
户型好，有装修，楼层好，采光好，配套好，近地铁,江岸水城 -桥北,3室2厅 | 130.13平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,169,"12,988元/平"
业主诚意出售 精装修 拧包入住 交通便利 采光充裕,金城丽景南区 -桥北,3室2厅 | 106.8平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,189,"17,697元/平"
满二，精装，临河，采光好，诚心出售,江与城 -顶山街道,3室2厅 | 95.4平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,307,"32,181元/平"
此房满五唯一，离3号线地铁站600米，龙湖天街,艾菲花园 -高新区,3室1厅 | 87.86平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,179,"20,374元/平"
明发三期 板房 小高层 满五年唯一省税 无抵押 近地铁,明发滨江新城大三期 -桥北,3室2厅 | 121.1平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,215,"17,754元/平"
精装全明三房 诚心出售 楼层好 价格可谈 视野开阔,中海左岸澜庭 -顶山街道,3室2厅 | 97.76平米 | 东南 北 | 精装 | 高楼层(共33层)  | 板楼,289,"29,563元/平"
威尼斯水城第十街区.地铁口.两居室.南北通透双阳台.,威尼斯水城第十街区 -桥北,2室2厅 | 90.51平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,166,"18,341元/平"
满五年唯一，有钥匙随时可看，诚心出售，看中可谈,亚泰山语湖 -高新区,3室2厅 | 86.89平米 | 南 北 | 精装 | 中楼层(共4层)  | 板楼,210,"24,169元/平"
明发三期 板房 U户型4房通透格局 江景房 视野采光都好,明发滨江新城大三期 -桥北,4室2厅 | 134.36平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,260,"19,351元/平"
地铁小三房，采光视野好，低总价,天润城第十四街区 -桥北,3室2厅 | 85.25平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,155,"18,182元/平"
央企保利 龙湖天街 10号线 洋房 上叠加顶跃,保利云禧 -江浦街道,3室2厅 | 120.19平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板塔结合,385,"32,033元/平"
低密洋房小区 带前后院子 跃层满两年 看房随时,大华锦绣时代 -桥北,3室2厅 | 196.84平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,309,"15,699元/平"
绿城物业 品质小区 四叶草户型 东边户 不临街 精装修,金隅紫京叠院 -江浦街道,4室2厅 | 143.02平米 | 南 北 | 精装 | 低楼层(共10层)  | 板楼,382,"26,710元/平"
时光里二期，采光好，近地铁，弘阳物业，诚心出售,弘阳时光里二区 -高新区,3室2厅 | 74.65平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,168,"22,506元/平"
江北新区五桥口游小旁低密度住宅 得房率高 采光视野好,力标赞城 -江浦街道,3室1厅 | 91.13平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,139,"15,253元/平"
绿地悦峰公馆 复式双阳台 采光好 无遮挡 近地铁,绿地新里悦峰公馆 -高新区,3室2厅 | 83.88平米 | 南 | 简装 | 高楼层(共19层)  | 板楼,212,"25,275元/平"
花园小区 双阳台 中上楼层 桥北新街口,弘阳旭日上城三区 -桥北,3室1厅 | 114.4平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,240,"20,980元/平"
