秦淮河边 精装修 生活便利  适合老人居住,莫愁东寓 -水西门,2室1厅 | 64.77平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,215,"33,195元/平"
仁恒江湾 精装房 新空边户 跑道大阳台 南京眼青奥公园,仁恒江湾世纪 -江心洲,4室2厅 | 181.35平米 | 南 北 | 精装 | 低楼层(共18层)  | 暂无数据,820,"45,217元/平"
此房满五年 采光好 诚心出售 新空房 顶跃得房率高,海峡城云珑湾 -奥南,4室2厅 | 161.35平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,520,"32,229元/平"
丹桂园 恒温恒湿恒氧 客厅朝南 采光好,丹桂园 -兴隆大街,3室2厅 | 128.88平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,719,"55,789元/平"
70年产权，奥体东，新城南加本，婚装，高楼层，采光好,中泰国际广场 -奥体,3室1厅 | 108.94平米 | 南 | 简装 | 高楼层(共28层)  | 板塔结合,289,"26,529元/平"
河西奥体 银城物业 精装三房 高楼层位置佳视野棒,万达华府东苑 -奥体,3室2厅 | 103.07平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,580,"56,273元/平"
江南名府银城物业生活方便、采光好、大地下室,江南名府 -应天西路,3室2厅 | 116.1平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,488,"42,033元/平"
比邻河西咫尺繁华 仁恒建造品质标杆 户型方正看房方便,仁恒绿洲新岛江枫园 -江心洲,3室2厅 | 135.1平米 | 南 北 | 其他 | 中楼层(共18层)  | 板塔结合,599,"44,338元/平"
奥体新城清竹园 小区中间 高得房率 配套成熟 价可谈,奥体新城清竹园 -奥体,3室2厅 | 109.63平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,490,"44,696元/平"
河西中部次新房 开发商精装 新空未入住,金隅紫京府 -兴隆大街,4室2厅 | 130平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,770,"59,231元/平"
户型方正，地铁 ，采光好 ，江景房，保养好,鲁能公馆 -奥南,3室2厅 | 88.27平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,399,"45,203元/平"
烟厂福利分房满五年低楼层全明户型不临街小区干净整洁,澄园 -南苑,2室2厅 | 78平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,240,"30,770元/平"
新空未住 无遮挡采光好 改善盘，河西南吴侯街地铁口,海珀星晖 -奥南,4室2厅 | 177.7平米 | 南 | 精装 | 低楼层(共28层)  | 板塔结合,880,"49,522元/平"
中间楼层，前后采光无遮挡，拎包入住,莫愁新村 -南湖,2室1厅 | 52.69平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,150,"28,469元/平"
诚售 朗诗熙华府 高楼层 三恒科技住宅 四房两卫满2年,朗诗熙华府 -奥南,4室2厅 | 143.25平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,680,"47,470元/平"
门口七号线地铁口 双南精装修 采光好,育英村 -南湖,2室1厅 | 56.21平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,113,"20,104元/平"
莲花南苑 简装两房 满两年 楼层好 采光足 诚心卖,莲花新城南苑 -油坊桥,2室1厅 | 69.18平米 | 南 | 简装 | 高楼层(共34层)  | 板塔结合,127,"18,358元/平"
18年精装大三房  东边户 户型方正 三个房间都不小,兴达新寓一村 -应天西路,3室1厅 | 91.16平米 | 东 | 精装 | 低楼层(共7层)  | 板楼,280,"30,716元/平"
奥体北门小区中间位置 南北通透大三房 万科物业,滨江奥城观澜苑 -奥体,3室2厅 | 142.4平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,575,"40,380元/平"
房子是满五满二的，房子居家装修，拎包入住。,莲花嘉园 -油坊桥,3室1厅 | 90.2平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,175,"19,402元/平"
此房满五年唯一  精装修 拎包入住   风景好,润花园 -南湖,2室1厅 | 43.92平米 | 西 | 精装 | 中楼层(共16层)  | 塔楼,169,"38,480元/平"
正荣润峯 复式户型 高楼层 业主诚心出售,正荣润峯 -奥南,4室2厅 | 138.27平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,670,"48,456元/平"
满五唯一 客厅带阳台 户型实用 近地铁 近小米 诚售,金穗花园 -奥南,3室2厅 | 92.2平米 | 南 | 简装 | 中楼层(共28层)  | 板塔结合,190,"20,608元/平"
一楼架空底跃 有50多平院子 采光不挡,金陵世家 -应天西路,4室2厅 | 188.79平米 | 南 | 简装 | 低楼层(共12层)  | 板楼,449,"23,784元/平"
户型方正不临街 中间楼层 采光充足 地铁口 大三房双卫,汉中门大街3号 -汉中门大街,3室1厅 | 93.42平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,300,"32,114元/平"
满五年 三室朝南 居家装修 有电梯,名仕嘉园 -江东,3室2厅 | 108.77平米 | 南 | 简装 | 低楼层(共20层)  | 板塔结合,355,"32,638元/平"
河西奥南 莲花嘉园 商品房 南北通透 看房随时,莲花嘉园 -油坊桥,3室1厅 | 89.05平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,178,"19,989元/平"
房屋结构很好 双南 通透楼层佳 看房提前约,精金花园北区 -万达广场,2室1厅 | 75.48平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,226,"29,942元/平"
此房近河西金鹰，大两房，得房率高，总价低,虹苑新寓三村 -应天西路,2室1厅 | 55.38平米 | 西 北 | 其他 | 高楼层(共8层)  | 板楼,108,"19,502元/平"
精装修小两房 南北通透 二楼带露台 生活方便,利民东村 -南湖,2室1厅 | 47.67平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,139,"29,159元/平"
精装修 大三房  满五唯一 无个税 业主诚售,新百花园 -应天西路,3室2厅 | 125.19平米 | 南 北 | 精装 | 中楼层(共19层)  | 板楼,385,"30,754元/平"
楼层好 20万精装修 拎包入住 诚心出售 7号线地铁口,沿河四村 -南湖,2室2厅 | 57平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,175,"30,702元/平"
好房出售中高楼层采光不遮挡，看房方便,佳兆业城市广场三期 -奥南,4室2厅 | 125.6平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,580,"46,179元/平"
近地铁  三房两卫 户型方正 楼层好 采光佳 满两年,鲁能公馆 -奥南,3室2厅 | 118.49平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,519,"43,802元/平"
河西金鹰世界    虹苑新寓  交通方便 看房随时看,虹苑新寓三村 -应天西路,3室1厅 | 78.64平米 | 南 北 | 其他 | 中楼层(共8层)  | 板楼,200,"25,433元/平"
西堤国际三区三房两卫诚心出售，中间楼层采光视野好。,银城西堤国际三区 -奥体,3室2厅 | 129.62平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,620,"47,833元/平"
此房视野宽阔，户型方正，全明格局，精装修。,招商雍和府 -奥南,4室2厅 | 138平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,510,"36,957元/平"
