"业主诚心出售,29,一楼有院子,采光无遮挡,南北户型~",场门口小区14号 -龙江,2室1厅 | 44.92平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,338,"75,245元/平"
新上定淮门 古平岗一楼带30平院子 业主诚心卖,古平岗小区 -水佐岗,2室1厅 | 48.74平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,195,"40,009元/平"
永嘉年华 银城汇文电梯房 精装修 边户,永嘉年华 -龙江,2室1厅 | 50.46平米 | 东 | 其他 | 中楼层(共21层)  | 板塔结合,330,"65,399元/平"
满三年没有增值税 双南格局 采光日照无遮挡,三牌楼大街 -三牌楼,2室1厅 | 48.55平米 | 南 北 | 其他 | 高楼层(共7层)  | 板塔结合,135,"27,807元/平"
三牌楼 西柏果园 带院子 南北朝向  户型方正,三牌楼小区西柏果园 -三牌楼,2室1厅 | 55.46平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,222,"40,029元/平"
石头城好房 公园旁 楼层好 采光无遮挡,石头城 -龙江,2室1厅 | 54.64平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,199,"36,421元/平"
新门口18号小区 闹中取静 中间楼层 装修可拎包住,新门口18号 -三牌楼,1室1厅 | 39.89平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,105,"26,323元/平"
蔚蓝之都 06年的商品房 芳草园  万科物业 小区环境优,蔚蓝之都 -汉中门大街,2室1厅 | 116.18平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合,550,"47,341元/平"
三牌楼大街 福建路 钟阜大厦双南两房 有钥匙随时看,钟阜大厦 -三牌楼,2室1厅 | 69.85平米 | 南 | 其他 | 高楼层(共28层)  | 板塔结合,205,"29,349元/平"
低总价，小区环境好，2014年房龄,金帆北苑 -金陵小区,2室1厅 | 70.49平米 | 南 北 | 其他 | 低楼层(共11层)  | 板楼,199,"28,231元/平"
满五年 南北通透格局 配套设施齐全 交通便利 环境优美,百合果园 -定淮门大街,2室1厅 | 61.2平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,435,"71,079元/平"
居家精装修 小区中 不临街 采光佳 满五年,清河新寓一村 -凤凰西街,2室1厅 | 61.49平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,470,"76,436元/平"
大桥南路 建宁路 盐仓桥 盐仓桥东街,盐仓桥东街小区 -建宁路,2室1厅 | 45.39平米 | 南 | 其他 | 中楼层(共7层)  | 板塔结合,116,"25,557元/平"
北祖师庵 2室1厅 东 西,北祖师庵 -建宁路,2室1厅 | 65.65平米 | 东 西 | 其他 | 低楼层(共7层)  | 板楼,125,"19,041元/平"
北祖师庵 2室1厅 东 西,北祖师庵 -建宁路,2室1厅 | 65.65平米 | 东 西 | 其他 | 低楼层(共7层)  | 板楼,125,"19,041元/平"
江滨新寓 小区中间  总价低  满五年唯一  有钥匙,江滨新寓 -草场门大街,1室1厅 | 45.02平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,110,"24,434元/平"
南北全明精装30万带暖气西康路小区,西康路 -宁海路,2室1厅 | 53.53平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,480,"89,670元/平"
金陵新四村 满五唯一税费少 看房方便 采光无遮挡,金陵新四村 -金陵小区,2室1厅 | 62.94平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,140,"22,244元/平"
龙江地铁口两房 全明边户 非顶楼 不临街,宝苑新寓 -草场门大街,2室1厅 | 62.79平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,248,"39,497元/平"
姜家园 小桃园 热河南路两房  业主诚心出售 看房方便,姜家园 -热河南路,2室1厅 | 57.01平米 | 南 北 | 其他 | 中楼层(共4层)  | 板楼,145,"25,435元/平"
大方巷 大方新村 山西南村环境好 采光佳,大方巷 -湖南路,1室1厅 | 38.55平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,129,"33,464元/平"
东边户 小区中间 优质楼层 全天日照 业主置换,育才公寓西片 -凤凰西街,2室1厅 | 67.02平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,438,"65,354元/平"
满五年唯一 不临街 双南双北 采光充足 交通便利,凤凰三村21号 -凤凰西街,2室2厅 | 69平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,255,"36,957元/平"
新出三条巷低楼层两房，全明户型，精装修采光好,三条巷(鼓楼) -湖南路,2室1厅 | 58.67平米 | 南 | 精装 | 6层  | 板楼,182,"31,021元/平"
金帆北苑 电梯洋房 楼层好 采光佳 小区中间,金帆北苑 -金陵小区,2室1厅 | 70.69平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,205,"29,000元/平"
鼓楼 青岛路 南秀村 南北两房 满五年 大客厅 交通方便,南秀村 -宁海路,3室1厅 | 64.52平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,320,"49,598元/平"
总价低小户型，楼层好，环境舒适，生活便利,安怀新村 -小市,2室1厅 | 44.41平米 | 东 | 其他 | 中楼层(共6层)  | 板楼,92,"20,717元/平"
三牌楼福建路地铁口 洪庙巷业主诚心卖,洪庙巷 -福建路,2室1厅 | 57.66平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,118,"20,465元/平"
五塘商圈，地铁口，交通出行便利，业主急售,五塘和园 -五塘广场,2室1厅 | 77.78平米 | 东 | 其他 | 低楼层(共28层)  | 板塔结合,222,"28,543元/平"
秦淮河畔次新房，精装修，有产权车位，业主诚心出售。,中海桃源里 -热河南路,2室1厅 | 76.29平米 | 西 | 其他 | 低楼层(共18层)  | 板楼,360,"47,189元/平"
世茂滨江 低总价精装大套 中间层采光不挡 配套成熟,世茂滨江新城 -热河南路,1室1厅 | 95.73平米 | 南 | 其他 | 中楼层(共52层)  | 板塔结合,360,"37,606元/平"
镇江路 全明西边户 中间楼层 配套齐全 交通方便,镇江路 -水佐岗,2室1厅 | 51.64平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,128,"24,787元/平"
宁海路 南东瓜市 二楼 东边户 精装修 阳光好 二十九,南东瓜市 -宁海路,2室1厅 | 67.55平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,418,"61,881元/平"
汉口西路 满五唯一 中间楼层 拎包入住 南北通透,汉口西路 -宁海路,2室1厅 | 45.13平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,406,"89,963元/平"
工人新村三楼 南北通透看房方便,工人新村 -许府巷,2室1厅 | 52.33平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,162,"30,958元/平"
户型方正格局好。一南一北精装修，采光好 。诚心出售,安乐村 -建宁路,2室1厅 | 44.7平米 | 东南 | 其他 | 高楼层(共6层)  | 板塔结合,110,"24,609元/平"
盐仓桥 一楼带院子 边户两房  自带天妃宫,驴子巷 -建宁路,2室1厅 | 42.86平米 | 南 | 其他 | 低楼层(共3层)  | 板楼,132,"30,798元/平"
天目路· 玉泉路 琅琊路 灵隐路 钱塘路 三楼,玉泉路 -宁海路,2室1厅 | 56.8平米 | 南 北 | 精装 | 6层  | 板楼,480,"84,508元/平"
多伦路 2室1厅 南,多伦路 -建宁路,2室1厅 | 55.63平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,160,"28,762元/平"
此房业主急售，视野好      挹江门虎踞北路,双门楼1号 -水佐岗,2室1厅 | 49.13平米 | 南 | 其他 | 低楼层(共4层)  | 暂无数据,150,"30,532元/平"
世茂外滩新城 交通便利 配套成熟 南北通透 视野开阔,世茂外滩新城 -热河南路,3室2厅 | 133.6平米 | 南 北 | 其他 | 低楼层(共57层)  | 板塔结合,560,"41,917元/平"
广州路 三房 光照充足 户型方正 诚心出售 看房方便,广州路 -华侨路,3室1厅 | 92.09平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,610,"66,240元/平"
出小区就是公交站，交通便利，十二中，二附院,热河南路 -热河南路,3室1厅 | 72.32平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,250,"34,569元/平"
世茂外滩新城 60万精装两房 拎包入住 不临街 采光不挡,世茂外滩新城 -热河南路,2室2厅 | 104.88平米 | 南 北 | 其他 | 低楼层(共55层)  | 板塔结合,480,"45,767元/平"
中间楼层 户型方正 采光无遮挡 文化氛围浓厚,天目路 -宁海路,2室1厅 | 86.76平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,750,"86,446元/平"
盐仓桥地铁口 精装三房 低总价 满五唯一 业主诚心出售,戴家巷 -水佐岗,3室1厅 | 65.66平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,159,"24,216元/平"
有车位 位置佳  南北户型  交通方便 配套齐全,苏宁睿城 -万达广场,3室2厅 | 130.85平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,930,"71,074元/平"
开发商精装带地暖 双南全明户型 采光不档 园林式设计,中海凤凰熙岸二期 -凤凰西街,3室2厅 | 128.2平米 | 南 北 | 其他 | 低楼层(共31层)  | 板塔结合,910,"70,983元/平"
鼓楼 葛洲坝央企 次新房 环境优美 玄武湖畔,葛洲坝招商紫郡蘭园南区 -小市,2室2厅 | 109.41平米 | 南 北 | 其他 | 低楼层(共17层)  | 板楼,535,"48,899元/平"
中层，居家装修修，南北朝向，户型工整，不临街面,盛世花园 -五塘广场,2室1厅 | 48.31平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,126,"26,082元/平"
此房满五不唯一 ，正规三房，双南一北，边户全明,新河二村 -定淮门大街,3室1厅 | 125.04平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,678,"54,223元/平"
此房满五不唯一，楼层高采光好，龙江地铁口，位置很好,滨江公寓 -草场门大街,3室2厅 | 146.32平米 | 南 北 | 其他 | 高楼层(共33层)  | 塔楼,620,"42,373元/平"
银城花园 双南全明结婚装修拎包入住 中间楼层诚售,银城花园北片 -龙江,2室1厅 | 63平米 | 西南 | 其他 | 中楼层(共7层)  | 板楼,298,"47,302元/平"
华保新寓  大三房  业主诚心出售,华保新寓 -草场门大街,3室2厅 | 118.16平米 | 东 南 北 | 其他 | 中楼层(共7层)  | 板楼,580,"49,086元/平"
清凉门大街 银城汇文 馨瑰园上下跃层带露台,苏宁馨瑰园 -龙江,4室2厅 | 153.57平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,798,"51,964元/平"
地铁一号线红山动物园站总价低高楼层采光佳,小市村 -小市,2室1厅 | 53.53平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,145,"27,088元/平"
拉小 五台山 怡景花园 精装修 业主诚售,怡景花园 -华侨路,2室1厅 | 55.09平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,456,"82,774元/平"
金宁新村 清爽两房 满五唯一 诚心出售 价格可谈,金宁新村小区 -小市,2室1厅 | 50.9平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,130,"25,541元/平"
大方新村 3室1厅 南,大方新村 -湖南路,3室1厅 | 80.43平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,340,"42,273元/平"
芳草园中间楼层 精装三房 满五年 业主诚心卖,芳草园 -龙江,3室1厅 | 82.6平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,460,"55,691元/平"
户型方正 大四房 采光好 适宜新老南京人,钟阜路28号 -福建路,4室2厅 | 142.59平米 | 南 | 其他 | 中楼层(共7层)  | 板塔结合,370,"25,949元/平"
古林公园旁 地铁口 一楼带院子 南北通透两房,古平岗35号 -龙江,2室1厅 | 58.36平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,186,"31,872元/平"
四+九号双地铁 人车分流商品房 小高层三房 适合改善,金陵名人居 -龙江,3室2厅 | 129.29平米 | 南 | 其他 | 低楼层(共9层)  | 板楼,646,"49,966元/平"
三牌楼 西柏果园一楼带院子三房 前后开门带车位,三牌楼小区西柏果园 -三牌楼,3室1厅 | 59.02平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,255,"43,206元/平"
裕顺雅苑电梯好房，南北通透。户型方正。,裕顺雅苑 -龙江,3室2厅 | 122.89平米 | 南 北 | 其他 | 中楼层(共11层)  | 板塔结合,558,"45,407元/平"
小桃园商圈凯鸿隽府低密度花园洋房南北通透带电梯,凯鸿隽府 -热河南路,3室2厅 | 122.02平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,588,"48,189元/平"
2000商品房 有电梯 户型方正 高楼层采光好 配套成熟,开元新寓 -三牌楼,3室1厅 | 115.23平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,380,"32,978元/平"
中海二期 开发商精装大三房 南北通透全明有车位,中海凤凰熙岸二期 -凤凰西街,3室2厅 | 129.69平米 | 南 北 | 其他 | 低楼层(共31层)  | 板塔结合,958,"73,869元/平"
满五年唯一 双南户型 南侧大露台，采光无遮挡,凤凰花园城金陵园 -凤凰西街,2室1厅 | 64.65平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,356,"55,066元/平"
带30平大院子 三南户型 全明边户 2个卫生间 环宇城旁,教工新村(鼓楼) -凤凰西街,3室2厅 | 106.25平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,410,"38,589元/平"
满五唯一 有车位 诚心卖房 和燕路主干道,泰和园 -小市,2室2厅 | 75.54平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,285,"37,729元/平"
中低楼层 阳光不挡  双卧朝南  厨卫朝北 不占,华阳佳园华贵苑 -凤凰西街,2室1厅 | 62.56平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,275,"43,958元/平"
此房满五年，南北通透，近地铁，生活交通方便，,白云雅居 -五塘广场,3室1厅 | 81.43平米 | 南 北 | 其他 | 低楼层(共10层)  | 板塔结合,268,"32,912元/平"
紫竹林28号 2室2厅 南 北,紫竹林28号 -许府巷,2室2厅 | 91.48平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,315,"34,434元/平"
许府巷黑龙江路八巷 三房 一楼有院子 采光好,黑龙江路八巷 -许府巷,3室1厅 | 65.41平米 | 北 南 | 其他 | 低楼层(共7层)  | 板楼,222,"33,940元/平"
紫竹林28号 2室2厅 南 北,紫竹林28号 -许府巷,2室2厅 | 91.48平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,315,"34,434元/平"
多伦路天妃宫盐仓桥中间楼层生活方便,多伦路 -建宁路,2室1厅 | 59.95平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,158,"26,356元/平"
新上新民路 满五唯一 东边户 交通便利,新民路 -建宁路,3室1厅 | 70.7平米 | 东 | 其他 | 中楼层(共6层)  | 暂无数据,179,"25,319元/平"
不占 精装修 满五年唯一 业主诚售中间楼层 地铁口,虎踞路 -华侨路,2室1厅 | 61.74平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,465,"75,316元/平"
华茂大厦 3室2厅 南,华茂大厦 -龙江,3室2厅 | 119.26平米 | 南 | 其他 | 中楼层(共20层)  | 塔楼,418,"35,050元/平"
中低楼层 阳光不挡  双卧朝南  厨卫朝北 不占,华阳佳园华贵苑 -凤凰西街,2室1厅 | 62.56平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,275,"43,958元/平"
小桃园商圈凯鸿隽府低密度花园洋房南北通透带电梯,凯鸿隽府 -热河南路,3室2厅 | 122.02平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,588,"48,189元/平"
此房满五年，南北通透，近地铁，生活交通方便，,白云雅居 -五塘广场,3室1厅 | 81.43平米 | 南 北 | 其他 | 低楼层(共10层)  | 板塔结合,268,"32,912元/平"
二十九 楼层好不临街 房龄新 诚心出售,场门口小区 -龙江,3室1厅 | 82.57平米 | 北 南 | 其他 | 中楼层(共7层)  | 板楼,448,"54,257元/平"
电梯房 准地铁口 全明户型 看房方便,华侨大厦 -水佐岗,3室1厅 | 118.96平米 | 东 东南 | 其他 | 高楼层(共28层)  | 板楼,380,"31,944元/平"
店长推荐 凤凰街 芳凤  小区出新 房龄新 临地铁站,凤凰街 -汉中门大街,2室1厅 | 99.04平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,428,"43,215元/平"
银城汇文 实用性强 两房变三房,育才公寓东片 -凤凰西街,3室2厅 | 65.17平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,465,"71,352元/平"
金川河 铁路北街 财大教室公寓 精装三房 楼层好房龄新,铁路北街 -福建路,3室1厅 | 79.82平米 | 南 北 | 其他 | 低楼层(共7层)  | 板塔结合,260,"32,574元/平"
芳凤29 地铁2号线 小区环境好 楼层佳 萍聚村,萍聚村 -华侨路,4室1厅 | 100.67平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,650,"64,568元/平"
桃清苑 仁恒物业 小高层电梯房 采光不挡 紧靠小桃园,桃清苑 -热河南路,3室1厅 | 153.61平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,798,"51,950元/平"
鑫宏花园 顶楼带阁楼 芳凤 不临街 采光好,鑫宏花园 -龙江,3室1厅 | 66.37平米 | 南 北 | 其他 | 高楼层(共7层)  | 板塔结合,298,"44,900元/平"
鼓楼龙江地铁口 不临街采光佳 房改得房高 诚售价可谈,白云园南片 -龙江,3室2厅 | 84.45平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,339,"40,143元/平"
诚售港龙园 南北通透 采光好 中楼层 大三房,港龙园 -龙江,3室1厅 | 96.26平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,395,"41,035元/平"
汉口西路 不占 通透户型 中间楼层 电梯 诚心出售,汉口西路 -宁海路,3室2厅 | 76.17平米 | 东 西 | 其他 | 中楼层(共9层)  | 板楼,420,"55,140元/平"
三房满五唯一户型好不占彩光视野好,芳草园 -龙江,3室2厅 | 121.46平米 | 南 | 其他 | 中楼层(共32层)  | 塔楼,668,"54,998元/平"
满五年了，带一个院子，地铁9号线,热河南路五段小区 -热河南路,3室1厅 | 81.39平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,296,"36,369元/平"
天水滨江花园西苑 3室2厅 南,天水滨江花园西苑 -凤凰西街,3室2厅 | 137.11平米 | 南 | 其他 | 高楼层(共11层)  | 塔楼,1000,"72,935元/平"
大桥南路四平路新民路简装三房户型方正采光好,新民路 -建宁路,3室1厅 | 68.36平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,145,"21,212元/平"
商品房小区精装修 房龄新 小区唯一西边户  采光无遮挡,江雁依山郡 -金陵小区,3室2厅 | 129.63平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,465,"35,872元/平"
精装三房 赤小五十  水佐岗板块好房,水佐岗32巷 -水佐岗,3室1厅 | 66.87平米 | 南 | 其他 | 高楼层(共6层)  | 塔楼,235,"35,143元/平"
精装三房，双南一北 中楼层 满五年唯一 没有抵押,金陵新六村 -金陵小区,3室1厅 | 70.57平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,165,"23,382元/平"
价格可谈装修好不占用诚心视野好,银城花园北片 -龙江,2室1厅 | 42.88平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,210,"48,974元/平"
新上好房 边户全明三房 低楼层采光佳 得房率高诚心卖,鑫宏花园 -龙江,3室2厅 | 98.47平米 | 南 北 | 其他 | 低楼层(共7层)  | 板塔结合,435,"44,176元/平"
满五年 双朝南非顶楼 业主诚售4号线龙江地铁口 采光好,天平新村 -草场门大街,2室1厅 | 54.2平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,218,"40,222元/平"
金川河 铁路北街 财大教室公寓 精装三房 楼层好房龄新,铁路北街 -福建路,3室1厅 | 79.82平米 | 南 北 | 其他 | 低楼层(共7层)  | 板塔结合,260,"32,574元/平"
商品房小区精装修 房龄新 小区唯一西边户  采光无遮挡,江雁依山郡 -金陵小区,3室2厅 | 129.63平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,465,"35,872元/平"
鼓楼龙江地铁口 不临街采光佳 房改得房高 诚售价可谈,白云园南片 -龙江,3室2厅 | 84.45平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,339,"40,143元/平"
诚售港龙园 南北通透 采光好 中楼层 大三房,港龙园 -龙江,3室1厅 | 96.26平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,395,"41,035元/平"
广州路 靠省人医 正规小区一楼带20平院,广州路 -华侨路,3室1厅 | 84.72平米 | 南 | 其他 | 低楼层(共7层)  | 板塔结合,550,"64,920元/平"
芳凤29 地铁2号线 小区环境好 楼层佳 萍聚村,萍聚村 -华侨路,4室1厅 | 100.67平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,650,"64,568元/平"
汉口西路 不占 通透户型 中间楼层 电梯 诚心出售,汉口西路 -宁海路,3室2厅 | 76.17平米 | 东 西 | 其他 | 中楼层(共9层)  | 板楼,420,"55,140元/平"
龙江宝船宁工小区内少有的电梯房，中间楼层， 精装修,宁工新寓一村 -草场门大街,2室1厅 | 63.62平米 | 南 北 | 其他 | 低楼层(共7层)  | 塔楼,225,"35,367元/平"
此房满五年，南北通透    居家装修 业主诚意出售,长阳花园 -龙江,3室2厅 | 127.36平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,680,"53,392元/平"
鼓楼滨江 世茂二期 精装修 业主诚心出售,世茂外滩新城 -热河南路,2室2厅 | 109.79平米 | 南 | 其他 | 中楼层(共55层)  | 板塔结合,498,"45,360元/平"
深业揽江府 精装修自住 一线江景,深业揽江府 -建宁路,4室2厅 | 166.92平米 | 南 北 | 其他 | 高楼层(共47层)  | 塔楼,880,"52,720元/平"
马台街，三牌楼 价格低 房主诚心出售,三牌楼大街 -三牌楼,3室1厅 | 76.5平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,228,"29,804元/平"
此房一楼带院子，采光都很好的 诚心出售 价格好谈。,五塘新村 -五塘广场,2室1厅 | 51.34平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,162,"31,555元/平"
汉口西路 不占 双南一北 70万装修 独立小区 采光不挡,汉口西路 -宁海路,3室1厅 | 76.81平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,656,"85,406元/平"
宁西公寓 3室1厅 南 北,宁西公寓 -草场门大街,3室1厅 | 94.68平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,370,"39,080元/平"
非顶 高标出新 采光好 业主 诚售  价格能谈 环境好,莫愁花园牡丹里 -凤凰西街,2室1厅 | 67.06平米 | 南 北 | 其他 | 高楼层(共7层)  | 板塔结合,210,"31,316元/平"
南北通透两居室，采光很好，装修可拎包入住,清江花苑明月园 -定淮门大街,2室2厅 | 68.94平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,450,"65,275元/平"
此房满五年，南北通透三房 采光好 业主诚售,新河二村 -定淮门大街,3室1厅 | 67.76平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,360,"53,129元/平"
新上 楼层好 位置佳 金湾花园 宝船＋宁海 户型好,金湾花园 -草场门大街,3室2厅 | 132.9平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,550,"41,385元/平"
百合果园20栋新出经典三房 满五唯一诚心出售,百合果园 -定淮门大街,3室1厅 | 102.24平米 | 东 | 其他 | 高楼层(共29层)  | 塔楼,528,"51,644元/平"
双汇文 精装修 2008年 电梯房 位置好 小区环境很好,天水滨江花园西苑 -凤凰西街,3室2厅 | 116.59平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,880,"75,479元/平"
镇江路晚市 户型方正 采光无遮挡 中间楼层,镇江路晚市 -水佐岗,3室1厅 | 71.46平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,200,"27,988元/平"
满五唯一 视野好 小区中间 精装三房 万达 吾悦 金鹰,苏宁睿城 -万达广场,3室2厅 | 138.44平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,960,"69,345元/平"
此房满五年，税费少，小区中间好楼层，业主诚心出售,邮政世纪花园 -凤凰西街,3室2厅 | 75.91平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,535,"70,479元/平"
小区环境好 采光无遮挡 南阴阳营 业主诚心出售,南阴阳营 -宁海路,3室1厅 | 79.57平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,479,"60,199元/平"
恒盛金陵湾 2室1厅 南,恒盛金陵湾 -定淮门大街,2室1厅 | 99.4平米 | 南 | 其他 | 低楼层(共55层)  | 板塔结合,518,"52,113元/平"
鼓楼区紫郡兰园楼盘精装修一梯一户大平层视野好,葛洲坝招商紫郡蘭园南区 -小市,4室2厅 | 187.68平米 | 南 北 | 其他 | 低楼层(共17层)  | 暂无数据,990,"52,750元/平"
丁家桥 东南大学房改房 价格能谈 房龄新,丁家桥89号 -湖南路,2室2厅 | 74.58平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,210,"28,158元/平"
此房前面无遮挡 采光直接照到床边 电梯房,白云雅居 -五塘广场,2室1厅 | 75.9平米 | 南 | 其他 | 高楼层(共10层)  | 板塔结合,225,"29,645元/平"
双卧朝南，居家精装修，采光不挡视野好,迎江园 -定淮门大街,2室1厅 | 48.45平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,380,"78,432元/平"
三房 满五年不唯一 四周生活方便。,银城花园北片 -龙江,3室1厅 | 79.05平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,320,"40,481元/平"
双卧朝南，居家精装修，采光不挡视野好,迎江园 -定淮门大街,2室1厅 | 48.45平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,380,"78,432元/平"
鼓楼小市 线路新村 楼层好南北全明 通透性好有电梯,线路新村社区 -小市,2室1厅 | 55.77平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,140,"25,104元/平"
电建中储泛悦城市广场 3室2厅 南 北,电建中储泛悦城市广场 -小市,3室2厅 | 105.35平米 | 南 北 | 其他 | 高楼层(共32层)  | 板楼,400,"37,969元/平"
此房满五，南北通透格局，楼层好，视野宽阔，采光充足,花开园 -龙江,3室1厅 | 83.54平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,365,"43,692元/平"
1楼有院子 近1号线 交通方便 居家装修 采光好,金宁新村小区 -小市,2室2厅 | 69.44平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,198,"28,514元/平"
长阳三房中间楼层满五唯一施区可用诚心卖,长阳花园 -龙江,3室2厅 | 127.2平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,689,"54,167元/平"
五跃六 精装修 拧包入住 南北通透 业主诚心售,苏宁雅瑰园 -龙江,4室2厅 | 127.64平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,680,"53,275元/平"
树人四房 实际面积大 房型好 满五年 双地铁,定淮门大街18号 -定淮门大街,4室2厅 | 92.56平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,470,"50,778元/平"
镇江路 虎踞北路 双南 精装修两房,镇江路 -水佐岗,2室1厅 | 49.95平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,149,"29,830元/平"
鼓楼区和燕路东井村中间楼层全明好房,东井村3号 -小市,2室1厅 | 49.62平米 | 南 | 其他 | 中楼层(共5层)  | 板塔结合,140,"28,215元/平"
新亚苑 2室1厅 南 北,新亚苑 -福建路,2室1厅 | 74.95平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,195,"26,018元/平"
此房满五 视野开阔 采光充足 配套设施齐全 交通便利。,千禧苑 -小市,3室1厅 | 84.45平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,229,"27,117元/平"
科瑞+汇文 交通便利 生活方便,佳和园 -万达广场,3室1厅 | 86.99平米 | 东 | 其他 | 中楼层(共33层)  | 板塔结合,418,"48,052元/平"
小区里安静  三开间朝南  楼层好  配套设施齐全,凤凰西街152号 -凤凰西街,3室2厅 | 117.31平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,508,"43,305元/平"
此房视野开阔，户型方正，精装修，电梯房 视野好,锦江花苑 -凤凰西街,3室2厅 | 132.2平米 | 南 北 东 | 其他 | 中楼层(共14层)  | 板楼,760,"57,489元/平"
