莫愁湖地铁口 采光好 南北 满五唯一 不临街,莫愁新寓荷花里 -汉中门大街,2室1厅 | 51.73平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,158,"30,544元/平"
苏城北苑西边户江景房 视野开阔 双南一北 全明通透,苏城北苑 -龙江,3室2厅 | 137.67平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,650,"47,215元/平"
新上蓝天园 带储藏室 不占用 看房方便,蓝天园 -龙江,2室1厅 | 61.94平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,365,"58,928元/平"
楼层好，边户  适合自住 房龄新，装修好 有车位,新河一村 -定淮门大街,2室1厅 | 50.42平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,365,"72,392元/平"
张家圩 满五唯一 力人 户型方正采光好,张家圩小区 -热河南路,3室2厅 | 77.85平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,330,"42,390元/平"
三号线小市地铁口 小市街精装两房 拎包住,小市街 -小市,2室1厅 | 52.08平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,99,"19,010元/平"
世茂外滩精装三房 南北通透 采光充足视野开阔 景观房,世茂外滩新城 -热河南路,3室2厅 | 125.58平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,518,"41,249元/平"
芳草园 三房 中间楼层 南北通透 满五年 无户口不占用,芳草园 -龙江,3室1厅 | 71.47平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,429,"60,026元/平"
新上玉泉路 天目路，房龄新 环境好，采光视野好,天目路 -宁海路,3室1厅 | 63.48平米 | 南 北 | 精装 | 低楼层(共3层)  | 板楼,396,"62,382元/平"
中商万豪 中环国际 龙吟广场 带燃气 电梯房,中商万豪 -水佐岗,1室1厅 | 67.18平米 | 南 | 其他 | 低楼层(共57层)  | 板楼,110,"16,374元/平"
此房满五年中间楼层，业主诚心，小区安静，采光不挡,武夷路 -宁海路,2室1厅 | 55.45平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,400,"72,138元/平"
满五年，育才公寓不占用，不临街 诚心出售,育才公寓西片 -凤凰西街,2室1厅 | 66.9平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,375,"56,054元/平"
此房户型方正，中间楼层 采光好 地铁口 00年房龄,芦席营70号小区 -许府巷,2室1厅 | 55.12平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,186,"33,745元/平"
南北通透户型 精装修拎包入住 中间楼层采光不遮挡,新河一村 -定淮门大街,2室1厅 | 57.92平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,399,"68,889元/平"
燕江园低楼层 全明 居家装修 南师 诚心卖,燕江园小区 -金陵小区,2室1厅 | 51.24平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,110,"21,468元/平"
华侨路 新街口 上海路 户型方正 全明户型 电梯直达,华侨公寓 -华侨路,2室1厅 | 59.89平米 | 东 | 精装 | 低楼层(共21层)  | 塔楼,165,"27,551元/平"
江雁山水雅苑 商品房小区 带电梯 双地铁 满五年唯一,江雁山水雅苑 -金陵小区,3室1厅 | 109.06平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,352,"32,276元/平"
三房朝南，银城汇文，视野开阔，交通便利,育才公寓东片 -凤凰西街,3室1厅 | 86.3平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,526,"60,951元/平"
琅小  北京西路   玉泉路   95年房子,天目路 -宁海路,3室1厅 | 83.88平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,607,"72,366元/平"
此房满五年 中层三房 业主诚心 产权清晰无抵押,海德卫城 -草场门大街,3室2厅 | 124.04平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,528,"42,567元/平"
两房朝南 一房朝北 全明 边户 采光好 诚心出售,和会街 -三牌楼,3室1厅 | 113.99平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,341,"29,915元/平"
此房中间楼层户型好采光好 配套齐全,凤凰庄 -汉中门大街,2室1厅 | 50平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,180,"36,000元/平"
玄武湖   许府巷   模范马路  青石村2楼,青石村 -许府巷,3室1厅 | 72.94平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,255,"34,961元/平"
龙江 大三房 精装 采光好  南北通透,白云园南片 -龙江,3室1厅 | 89.08平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,330,"37,046元/平"
中环国际 总价低 景观房 视野好 玄武湖紫金山尽收眼底,中环国际 -湖南路,1室1厅 | 64.39平米 | 东 东北 | 精装 | 高楼层(共55层)  | 塔楼,105,"16,307元/平"
小区中间位置 复式 得房率高 采光好 诚心出售,长江之家 -龙江,6室2厅 | 309.3平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,890,"28,775元/平"
满二年 居家装修 南北通透 低楼层采光好 诚心卖房,新河一村 -定淮门大街,2室1厅 | 49.22平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,355,"72,126元/平"
世茂外滩新城 精装两房全南户型 中楼层双阳台,世茂外滩新城 -热河南路,2室2厅 | 106.03平米 | 南 | 简装 | 低楼层(共57层)  | 板塔结合,386,"36,405元/平"
宝船 总价低 不临街 采光好 地铁4号线  靠菜场、公园,宁工新寓二村 -草场门大街,2室1厅 | 70.64平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,187,"26,473元/平"
鼓楼滨江精装修双阳台 花园洋房双地铁报价含产权车位,凯鸿隽府 -热河南路,2室2厅 | 89.68平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,505,"56,312元/平"
树人 正规单室套小区中间 低总价 采光好,新河一村 -定淮门大街,1室1厅 | 38.75平米 | 南 | 简装 | 高楼层(共5层)  | 板楼,310,"80,000元/平"
三牌楼大街 低单价，低总价，边户全明户型自如装修,和会街 -三牌楼,2室1厅 | 51.29平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,145,"28,271元/平"
电梯洋房，园林小区，南北通透，精装修，,德水香林 -五塘广场,3室1厅 | 126.91平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,515,"40,580元/平"
三牌楼2002年商品房 小区环境好 出门就是福建路地铁,天和园 -三牌楼,4室2厅 | 173.79平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,550,"31,648元/平"
省化工厅房改 低楼层 边户采光好 闹中取静 双地铁,高云岭 -湖南路,3室1厅 | 85.55平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,249,"29,106元/平"
精装修 拎包入住 位置好 看房方便 业主诚心出售,新河一村 -定淮门大街,2室1厅 | 49.89平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,335,"67,148元/平"
双南一北 精装修 玄武门地铁口 全明 裴家 出过新,裴家桥小区 -湖南路,3室1厅 | 82.21平米 | 南 北 | 其他 | 低楼层(共6层)  | 板塔结合,290,"35,276元/平"
交通便利，地理位置优越，配套成熟，采光好,狮子桥 -湖南路,2室2厅 | 71.96平米 | 东 | 精装 | 中楼层(共7层)  | 板楼,179,"24,875元/平"
清江花苑 树人 中间楼层 精装修 采光好 不占,清江花苑绿茵园 -定淮门大街,3室1厅 | 88.61平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,485,"54,735元/平"
电梯高层江景房  采光好 南北通透,恒盛金陵湾 -定淮门大街,3室2厅 | 137.59平米 | 南 北 | 毛坯 | 中楼层(共52层)  | 板塔结合,680,"49,423元/平"
此房满三年，居家装修，南北通透，业主诚售，,白云雅居 -五塘广场,2室1厅 | 76.14平米 | 南 北 | 其他 | 高楼层(共9层)  | 板塔结合,205,"26,925元/平"
上海路 正规3房 满五年唯一 中间楼层 全明户型,上海路 -华侨路,3室1厅 | 84.61平米 | 南 北 | 简装 | 低楼层(共7层)  | 板塔结合,260,"30,730元/平"
福建路 钟阜大厦 西瓜圃桥 新门口 电梯房多层得房率高,三牌楼大街 -三牌楼,3室1厅 | 101.22平米 | 南 北 | 简装 | 中楼层(共9层)  | 板塔结合,258,"25,490元/平"
定淮门大街 好房 不占 楼层好采光不挡,定淮门大街 -定淮门大街,2室1厅 | 76.54平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,368,"48,080元/平"
双汇文不占 满五年唯一 电梯精装三房 南北通透,世纪之星 -凤凰西街,3室1厅 | 106.05平米 | 南 北 | 其他 | 中楼层(共22层)  | 塔楼,548,"51,674元/平"
邮政世纪花园 东边户 小区中间位置 业主诚心出售,邮政世纪花园 -凤凰西街,2室2厅 | 73.87平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,480,"64,980元/平"
诚意出售 家具家电全 采光好 小区中间位置 安静不临街,金信花园 -龙江,3室2厅 | 100.55平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,426,"42,367元/平"
海德卫城带车位四房 楼层好 江景房 采光刺眼,海德卫城 -草场门大街,4室2厅 | 164.06平米 | 南 北 | 精装 | 高楼层(共28层)  | 板塔结合,735,"44,801元/平"
看房方便 开发商升级精装修 南北双阳台。,世茂外滩新城 -热河南路,3室2厅 | 140.09平米 | 南 | 精装 | 中楼层(共54层)  | 板塔结合,548,"39,118元/平"
南艺石头城公园地铁口双南精装修无个税,北京西路76号 -龙江,2室1厅 | 64.54平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,220,"34,088元/平"
龙江金信 电梯大三房 高楼层 采光视野好 小高层,金信花园 -龙江,3室1厅 | 116.38平米 | 南 北 | 简装 | 高楼层(共10层)  | 板楼,498,"42,791元/平"
新上  新城市广场   婚装  3房2卫  地铁4号线,新城市广场 -龙江,3室2厅 | 57.9平米 | 南 | 其他 | 高楼层(共18层)  | 塔楼,240,"41,451元/平"
新河二村 全明两房 户型方正 自住精装修,新河二村 -定淮门大街,2室1厅 | 49.9平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,369,"73,948元/平"
中间楼层 三房 双南一北 地铁口 不临街 采光好,凤凰庄 -汉中门大街,3室1厅 | 73.76平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,280,"37,961元/平"
清凉门.国防园.满五年唯一.中楼层采光不挡,场门口小区14号 -龙江,3室1厅 | 74.1平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,345,"46,559元/平"
芳凤29 能养花种草带储藏室 连家店居住皆可,汉中门外大街 -汉中门大街,2室1厅 | 49.42平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,329,"66,573元/平"
树人不占用 中间楼层 精装修 全明户型,新河一村 -定淮门大街,2室1厅 | 51.35平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,378,"73,613元/平"
随园  南京大学旁 正规小区，小区环境好,随园 -宁海路,3室1厅 | 64.4平米 | 南 | 精装 | 低楼层(共4层)  | 板楼,179,"27,796元/平"
海德卫城 中上楼层 诚心出售 采光无遮挡,海德卫城 -草场门大街,3室1厅 | 147.79平米 | 南 | 其他 | 中楼层(共28层)  | 板塔结合,530,"35,862元/平"
龙江 江景园 改善 三房精装拎包入住,江景园 -草场门大街,3室1厅 | 112.75平米 | 南 | 精装 | 低楼层(共11层)  | 塔楼,478,"42,395元/平"
电梯房 标准大三房 诚心卖 价格可谈  三牌楼 和会街,三牌楼大街 -三牌楼,3室2厅 | 108.74平米 | 南 北 | 简装 | 高楼层(共9层)  | 板塔结合,290,"26,670元/平"
