Total_Price,Unit_Price,District,Area,Furnished,Bedroom,Living_Room,Total_Floors,Detailed_Floor,Facing_South
78,7111,Gaochun,109.69,Other,3,2,26,12,1
69.8,5260,Gaochun,132.72,Other,3,2,6,5,1
106,10619,Gaochun,99.83,Other,3,2,27,6,1
60,6498,Gaochun,92.35,Other,3,2,27,19,1
70,7384,Gaochun,94.81,Other,3,2,26,6,1
89,9320,Gaochun,95.5,Other,3,2,8,4,1
69,6487,Gaochun,106.38,Other,3,2,5,2,1
100,6245,Gaochun,160.14,Other,4,2,6,2,1
65,5926,Gaochun,109.69,Other,3,2,26,19,1
89,9320,Gaochun,95.5,Other,3,2,8,4,1
78,8594,Gaochun,90.77,Other,2,1,6,3,1
70,5765,Gaochun,121.43,Other,3,2,11,5,1
45,5080,Gaochun,88.6,Not Furnished,2,2,24,11,1
66,5489,Gaochun,120.25,Other,3,2,11,8,0
125,15967,Gaochun,78.29,Fully Furnished,2,2,5,4,1
125,15473,Gaochun,80.79,Fully Furnished,2,2,5,2,1
64,8350,Gaochun,76.65,Not Furnished,2,1,7,4,1
48,5470,Gaochun,87.76,Other,2,2,11,5,1
62,7280,Gaochun,85.17,Not Furnished,3,2,10,3,1
73.8,7769,Gaochun,95,Not Furnished,3,2,20,10,1
63.5,5000,Gaochun,127,Not Furnished,4,2,27,19,1
88,7155,Gaochun,123,Other,3,2,20,10,1
80,8032,Gaochun,99.61,Fully Furnished,3,2,27,6,1
130,9435,Gaochun,137.79,Not Furnished,3,2,3,1,1
115,9714,Gaochun,118.39,Other,4,2,7,4,1
53.8,5260,Gaochun,102.29,Other,3,2,9,5,1
89.8,6579,Gaochun,136.51,Not Furnished,4,2,27,13,1
158.8,11457,Gaochun,138.61,Fully Furnished,4,2,8,4,1
45,5129,Gaochun,87.74,Other,2,2,11,5,1
95,7064,Gaochun,134.5,Fully Furnished,4,2,6,5,1
102.6,8985,Gaochun,114.2,Fully Furnished,3,2,6,3,1
80,6526,Gaochun,122.6,Other,3,2,27,6,1
118,9219,Gaochun,128,Other,4,2,27,13,0
91.8,6733,Gaochun,136.36,Other,3,2,26,19,1
92.8,7791,Gaochun,119.12,Other,3,2,11,5,0
108,7449,Gaochun,145,Other,4,2,20,15,1
70,7280,Gaochun,96.16,Other,3,2,20,5,1
69,7264,Gaochun,95,Other,3,2,20,5,1
67,6968,Gaochun,96.16,Other,3,2,20,5,1
96,9760,Gaochun,98.37,Other,3,2,8,4,1
62,6957,Gaochun,89.12,Part Furnished,3,2,11,8,1
60,6619,Gaochun,90.65,Other,2,2,11,8,1
89,10003,Gaochun,88.98,Other,3,2,7,4,1
72,8002,Gaochun,89.98,Other,2,2,7,2,1
48,5470,Gaochun,87.76,Other,2,2,11,5,1
66.8,7356,Gaochun,90.82,Other,2,2,6,2,1
58,8431,Gaochun,68.8,Other,2,1,7,4,1
52,5575,Gaochun,93.29,Other,2,2,23,5,1
32,4599,Gaochun,69.59,Other,1,1,24,5,1
68.8,8138,Gaochun,84.55,Other,2,2,11,3,1
59,6180,Gaochun,95.47,Other,2,2,25,18,1
72,5951,Gaochun,121,Other,3,2,11,8,1
70,7373,Gaochun,94.95,Other,3,2,20,15,1
74,5920,Gaochun,125,Other,4,2,27,19,1
75,6554,Gaochun,114.45,Not Furnished,3,2,24,5,1
85,6902,Gaochun,123.16,Other,3,2,18,13,1
69,5739,Gaochun,120.25,Other,3,2,11,5,1
54,5499,Gaochun,98.2,Other,3,2,11,5,1
80,6388,Gaochun,125.25,Other,3,2,11,5,1
68.8,7246,Gaochun,94.95,Other,3,2,20,10,1
85,6800,Gaochun,125,Other,4,2,27,6,1
68.8,7243,Gaochun,95,Other,3,2,20,10,1
64.8,6825,Gaochun,94.95,Other,3,2,20,5,1
122,8592,Gaochun,142,Other,4,2,6,5,1
120,8916,Gaochun,134.6,Other,4,2,8,6,1
105,7242,Gaochun,145,Other,4,2,20,15,1
55,6328,Gaochun,86.92,Other,2,2,6,5,0
